Name, Position_SW, Team, Age, Height, Weight, Year, Total Appearances, Full Appearances, Sub ON Appearances, Sub OFF Appearances, Total Goals, Goals Right Foot, Goals Left Foot, Goals Head, Other Goals,Shot Accuracy(%), Shots ON Target, Shots OFF Target, Blocked Shots, Goals Concerted, Failed Goals, Total Chances Created, Player Assist, Player Key Passes, Total chances RB(%), Total chances RCAR(%),Total chances WR(%), Total chances EXTR(%), Total chances GK(%), Total chances CB(%), Total chances MC(%), Total chances OMF(%), Total chances FW(%), Total chances LB(%), Total chances LCAR(%), Total chances WL(%), Total chances EXTL(%),Average pass Accuracy(%), Successful Passes, Unsuccessful Passes, Successful Long Balls, Unsuccessful Long Balls, Successful Headed Passes, Unsuccessful Headed Passes, Successful Through Balls, Unsuccessful Through Balls,Successful Cross Ball, Unsuccessful Cross Ball, Passes Forward, Passes Backward, Average Pass Length, Average Long Ball Length, Average Back Pass Length, Average Forward Pass Length, Average Duels Won(%),Successful Tackles, Total Tackles, Successful Fouls, Total Fouls, Successful Take On, Total Take on, Successful Headed Duel, Total Headed Duel, Successful Tackles, Total Tackles,Average Defensive Actions, Defensive Clearances, Defensive Interceptions, Defensive Blocks, Total Defensive Errors, Led Attempt Goal, Led Goal,Total Yellow Card, Violence Yellow Card, Tackle Yellow Card, Verbal Yellow Card, Other Yellow Card, Total Red Card, Violence Red Card, Tackle Red Card, Verbal Red Card, Other Red Card
Héctor Moreno,Defender,Espanyol,,1.83m,80kg,2012/2013,32,30,1,1,2,0,0,2,0,42,5,7,32,2,10,12,2,10,0.0,0.0,0.0,0.0,0.0,0.0,33.3,16.7,41.7,0.0,0.0,8.3,0.0,77,680,90,120,113,2,12,7658,1,1,0,0,910,222,25,25,46,20,56,0,0,0,0,0,0,0,0,8,25,71,168,2,1,1,8,0,6,0,2,1,0,0,1,0
Raúl Rodríguez,Defender,Espanyol,,1.83m,70kg,2012/2013,23,18,0,5,0,0,0,0,0,17,1,5,23,0,6,2,0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,79,390,56,75,48,0,2,4434,0,0,0,0,492,155,23,23,40,18,55,0,0,0,0,0,0,0,0,8,5,60,123,1,0,1,4,0,4,0,0,1,0,0,1,0
Joan Verdú,Midfielder,Espanyol,,1.78m,71kg,2012/2013,37,19,17,1,9,7,2,0,0,43,24,32,37,9,47,59,3,56,0.0,0.0,8.5,20.3,0.0,0.0,10.2,42.4,3.4,0.0,0.0,1.7,13.6,81,1299,243,96,47,3,59,4338,10,23,0,0,1047,737,17,17,39,15,50,0,0,0,0,0,0,0,0,1,0,16,9,2,0,2,7,0,3,0,4,0,0,0,0,0
Víctor Sánchez,Midfielder,Espanyol,,1.74m,72kg,2012/2013,33,26,7,0,1,1,0,0,0,36,8,14,33,1,21,10,1,9,0.0,0.0,0.0,10.0,0.0,0.0,20.0,40.0,10.0,0.0,10.0,10.0,0.0,75,742,154,62,55,1,10,8687,3,3,0,0,850,329,17,17,37,14,49,0,0,0,0,0,0,0,0,5,12,97,58,0,0,0,17,0,14,0,3,1,0,1,0,0
Diego Colotto,Defender,Espanyol,,1.84m,83kg,2012/2013,28,27,1,0,2,2,0,0,0,36,5,9,28,2,12,5,1,4,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,64,291,115,73,100,1,5,8740,0,0,0,0,593,107,28,28,45,19,58,38,65,17,37,8,12,45,83,10,26,51,208,2,1,1,8,0,4,0,4,1,0,1,0,0
Rui Fonte,Forward,Espanyol,,1.81m,73kg,2012/2013,10,1,4,5,0,0,0,0,0,38,3,5,10,0,8,4,0,4,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,75,99,20,6,5,0,4,1315,1,0,0,0,65,93,15,15,24,14,54,0,0,0,0,0,0,0,0,1,1,5,8,0,0,0,2,0,1,0,1,0,0,0,0,0
Albín,Forward,Espanyol,,1.79m,77kg,2012/2013,7,2,0,5,1,0,1,0,0,67,4,2,7,1,5,3,0,3,0.0,0.0,0.0,33.3,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,75,27,9,3,0,0,3,84,0,0,0,0,30,20,14,14,35,9,52,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,2,0,1,0,1,1,0,0,0,1
Raúl Baena,Midfielder,Espanyol,,1.79m,73kg,2012/2013,19,6,5,8,1,1,0,0,0,40,4,6,19,1,9,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,25.0,78,269,48,16,9,1,4,2330,0,2,0,0,264,131,17,17,37,13,47,0,0,0,0,0,0,0,0,2,4,26,10,2,2,0,6,0,3,0,3,0,0,0,0,0
Christian Stuani,Forward,Espanyol,,1.86m,77kg,2012/2013,32,16,5,11,7,3,2,2,0,40,16,24,32,7,33,27,4,23,0.0,0.0,0.0,22.2,0.0,0.0,0.0,33.3,44.4,0.0,0.0,0.0,0.0,59,283,109,8,24,4,27,83124,2,2,0,0,390,242,15,15,43,13,49,0,0,0,0,0,0,0,0,2,5,14,38,0,0,0,14,0,12,1,1,0,0,0,0,0
Juan Forlín,Defender,Espanyol,,1.8m,77kg,2012/2013,33,27,5,1,0,0,0,0,0,33,3,6,33,0,9,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,33.3,44.4,22.2,0.0,0.0,0.0,0.0,72,528,118,44,45,0,9,114101,2,1,0,0,758,190,19,19,42,17,50,0,0,0,0,0,0,0,0,7,13,109,103,1,1,0,17,0,12,3,2,1,0,0,0,1
Sergio García,Forward,Espanyol,,1.74m,72kg,2012/2013,28,23,4,1,7,5,2,0,0,47,21,24,28,7,38,44,5,39,0.0,2.3,4.5,9.1,0.0,0.0,2.3,43.2,25.0,0.0,2.3,0.0,11.4,65,406,184,14,13,5,44,1031,12,8,0,0,427,246,14,14,38,13,36,0,0,0,0,0,0,0,0,1,2,11,21,1,1,0,4,0,1,0,3,1,0,0,1,0
