Name, Position_SW, Team, Age, Height, Weight, Year, Total Appearances, Full Appearances, Sub ON Appearances, Sub OFF Appearances, Total Goals, Goals Right Foot, Goals Left Foot, Goals Head, Other Goals,Shot Accuracy(%), Shots ON Target, Shots OFF Target, Blocked Shots, Goals Concerted, Failed Goals, Total Chances Created, Player Assist, Player Key Passes, Total chances RB(%), Total chances RCAR(%),Total chances WR(%), Total chances EXTR(%), Total chances GK(%), Total chances CB(%), Total chances MC(%), Total chances OMF(%), Total chances FW(%), Total chances LB(%), Total chances LCAR(%), Total chances WL(%), Total chances EXTL(%),Average pass Accuracy(%), Successful Passes, Unsuccessful Passes, Successful Long Balls, Unsuccessful Long Balls, Successful Headed Passes, Unsuccessful Headed Passes, Successful Through Balls, Unsuccessful Through Balls,Successful Cross Ball, Unsuccessful Cross Ball, Passes Forward, Passes Backward, Average Pass Length, Average Long Ball Length, Average Back Pass Length, Average Forward Pass Length, Average Duels Won(%),Successful Tackles, Total Tackles, Successful Fouls, Total Fouls, Successful Take On, Total Take on, Successful Headed Duel, Total Headed Duel, Successful Tackles, Total Tackles,Average Defensive Actions, Defensive Clearances, Defensive Interceptions, Defensive Blocks, Total Defensive Errors, Led Attempt Goal, Led Goal,Total Yellow Card, Violence Yellow Card, Tackle Yellow Card, Verbal Yellow Card, Other Yellow Card, Total Red Card, Violence Red Card, Tackle Red Card, Verbal Red Card, Other Red Card
Diego Godín,Defender,Atlético de Madrid,,1.87m,79kg,2012/2013,35,34,1,0,1,1,0,0,0,38,9,15,35,1,23,8,2,6,0.0,0.0,0.0,12.5,0.0,37.5,12.5,12.5,25.0,0.0,0.0,0.0,0.0,79,616,90,91,87,2,8,5630,0,0,0,0,810,160,24,24,44,21,67,0,0,0,0,0,0,0,0,11,15,82,297,4,2,2,10,0,8,2,0,1,0,1,0,0
Filipe Luis,Defender,Atlético de Madrid,,1.82m,73kg,2012/2013,32,29,3,0,1,0,1,0,0,47,8,9,32,1,16,34,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,8.8,0.0,0.0,35.3,41.2,81,941,163,41,45,2,34,4231,0,1,0,0,844,418,17,17,38,14,54,0,0,0,0,0,0,0,0,5,6,77,82,1,0,1,7,0,6,0,1,0,0,0,0,0
Koke,Midfielder,Atlético de Madrid,,1.78m,74kg,2012/2013,33,17,12,4,3,3,0,0,0,39,14,22,33,3,33,80,9,71,0.0,0.0,7.5,28.8,0.0,0.0,7.5,23.8,8.8,0.0,0.0,5.0,18.8,81,955,165,65,38,9,80,5034,4,9,0,0,850,463,18,18,37,16,45,1,2,1,1,1,1,0,0,2,4,30,28,0,0,0,5,0,2,0,3,0,0,0,0,0
Juanfran,Defender,Atlético de Madrid,,1.8m,72kg,2012/2013,35,35,0,0,1,1,0,0,0,20,1,4,35,1,4,19,3,16,0.0,0.0,31.6,52.6,0.0,0.0,0.0,0.0,15.8,0.0,0.0,0.0,0.0,78,735,168,41,56,3,19,4313,0,0,0,0,667,383,18,18,39,15,52,0,2,0,2,0,0,1,2,5,4,73,81,3,2,1,5,0,3,0,2,0,0,0,0,0
Miranda,Defender,Atlético de Madrid,,1.86m,78kg,2012/2013,35,35,0,0,2,1,0,1,0,28,5,13,35,2,16,7,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,85.7,0.0,0.0,0.0,0.0,71,454,111,91,108,3,7,5933,0,1,0,0,744,109,27,27,45,21,58,0,0,0,0,0,0,0,0,9,10,59,248,1,0,1,10,0,7,2,1,1,0,0,0,1
Diego Costa,Forward,Atlético de Madrid,,1.86m,87kg,2012/2013,31,8,16,7,10,4,1,5,0,61,23,15,31,10,28,37,7,30,0.0,0.0,0.0,8.1,0.0,0.0,2.7,32.4,48.6,0.0,0.0,2.7,5.4,75,461,114,9,2,7,37,5258,2,2,0,0,309,386,13,13,38,12,43,0,0,0,0,0,0,0,0,1,3,13,14,0,0,0,11,0,5,1,6,0,0,0,0,0
Tiago,Midfielder,Atlético de Madrid,,1.84m,75kg,2012/2013,22,12,2,8,2,1,0,1,0,40,4,6,22,2,8,10,0,10,0.0,0.0,10.0,0.0,0.0,0.0,10.0,70.0,0.0,0.0,10.0,0.0,0.0,81,514,83,48,19,0,10,5139,2,5,0,0,544,207,18,18,40,16,52,6,21,14,27,0,0,3,7,4,8,35,50,0,0,0,5,0,5,0,0,0,0,0,0,0
Falcao,Forward,Atlético de Madrid,,1.77m,72kg,2012/2013,34,28,6,0,28,18,7,3,0,54,53,46,34,28,71,32,1,31,0.0,0.0,0.0,0.0,0.0,0.0,12.5,62.5,21.9,0.0,0.0,3.1,0.0,80,541,91,23,6,1,32,5757,2,3,0,0,313,458,13,13,37,11,48,0,0,0,0,0,0,0,0,1,4,4,19,0,0,0,7,0,6,0,1,0,0,0,0,0
Arda Turan,Midfielder,Atlético de Madrid,,1.75m,76kg,2012/2013,32,9,17,6,5,4,1,0,0,52,17,16,32,5,28,38,4,34,0.0,0.0,0.0,10.5,0.0,0.0,15.8,36.8,18.4,0.0,0.0,5.3,13.2,84,807,131,48,14,4,38,2721,1,3,0,0,605,442,15,15,37,14,52,0,0,0,0,0,0,0,0,1,3,15,9,1,0,1,7,0,4,0,3,0,0,0,0,0
Emre,Midfielder,Atlético de Madrid,,1.71m,66kg,2012/2013,7,0,4,3,0,0,0,0,0,100,1,0,7,0,1,10,1,9,0.0,0.0,0.0,10.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,30.0,85,112,15,10,1,1,10,56,0,0,0,0,92,55,18,18,37,17,50,0,0,0,0,0,0,0,0,2,1,12,3,1,1,0,1,0,1,0,0,0,0,0,0,0
