Name, Position_SW, Team, Age, Height, Weight, Year, Total Appearances, Full Appearances, Sub ON Appearances, Sub OFF Appearances, Total Goals, Goals Right Foot, Goals Left Foot, Goals Head, Other Goals,Shot Accuracy(%), Shots ON Target, Shots OFF Target, Blocked Shots, Goals Concerted, Failed Goals, Total Chances Created, Player Assist, Player Key Passes, Total chances RB(%), Total chances RCAR(%),Total chances WR(%), Total chances EXTR(%), Total chances GK(%), Total chances CB(%), Total chances MC(%), Total chances OMF(%), Total chances FW(%), Total chances LB(%), Total chances LCAR(%), Total chances WL(%), Total chances EXTL(%),Average pass Accuracy(%), Successful Passes, Unsuccessful Passes, Successful Long Balls, Unsuccessful Long Balls, Successful Headed Passes, Unsuccessful Headed Passes, Successful Through Balls, Unsuccessful Through Balls,Successful Cross Ball, Unsuccessful Cross Ball, Passes Forward, Passes Backward, Average Pass Length, Average Long Ball Length, Average Back Pass Length, Average Forward Pass Length, Average Duels Won(%),Successful Tackles, Total Tackles, Successful Fouls, Total Fouls, Successful Take On, Total Take on, Successful Headed Duel, Total Headed Duel, Successful Tackles, Total Tackles,Average Defensive Actions, Defensive Clearances, Defensive Interceptions, Defensive Blocks, Total Defensive Errors, Led Attempt Goal, Led Goal,Total Yellow Card, Violence Yellow Card, Tackle Yellow Card, Verbal Yellow Card, Other Yellow Card, Total Red Card, Violence Red Card, Tackle Red Card, Verbal Red Card, Other Red Card
Lionel Messi,Forward,Barcelona,,1.7m,72kg,2012/2013,32,28,0,4,46,6,40,0,0,62,80,50,32,46,84,45,12,33,0.0,0.0,2.2,2.2,0.0,0.0,6.7,68.9,15.6,0.0,0.0,0.0,4.4,85,1378,197,67,14,12,45,208,13,42,0,0,962,764,14,14,38,11,64,0,0,2,2,5,9,0,0,0,1,10,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Andrés Iniesta,Midfielder,Barcelona,,1.71m,68kg,2012/2013,31,15,9,7,3,3,0,0,0,54,13,11,31,3,21,44,16,28,0.0,0.0,0.0,0.0,0.0,0.0,20.5,47.7,22.7,0.0,0.0,4.5,4.5,90,1905,166,82,14,16,44,91,20,35,0,0,1264,951,14,14,39,13,59,0,0,0,0,0,0,0,0,1,2,15,10,1,1,0,4,0,3,0,1,0,0,0,0,0
Alexis Sánchez,Forward,Barcelona,,1.69m,62kg,2012/2013,29,7,11,11,8,4,2,2,0,61,19,12,29,8,23,35,9,26,0.0,0.0,0.0,11.4,0.0,0.0,2.9,22.9,60.0,0.0,0.0,0.0,2.9,80,584,122,7,0,9,35,1425,2,2,0,0,232,519,12,12,38,11,49,0,0,0,0,0,0,0,0,1,2,12,5,0,0,0,4,0,2,0,2,0,0,0,0,0
Sergio Busquets,Midfielder,Barcelona,,1.89m,76kg,2012/2013,31,21,4,6,1,1,0,0,0,100,1,0,31,1,0,10,2,8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,40.0,0.0,0.0,0.0,0.0,92,1873,99,121,18,2,10,9059,1,4,0,0,1520,732,16,16,38,14,61,2,9,3,7,0,0,0,0,3,8,52,43,1,1,0,9,0,7,0,2,0,0,0,0,0
Gerard Piqué,Defender,Barcelona,,1.94m,85kg,2012/2013,28,25,2,1,2,2,0,0,0,29,4,10,28,2,12,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,28.6,42.9,28.6,0.0,0.0,0.0,0.0,91,1411,65,127,59,0,7,4629,0,2,0,0,1303,429,19,19,40,19,58,0,0,0,0,0,0,0,0,7,19,60,130,2,2,0,5,0,4,0,1,1,0,1,0,0
Thiago Alcántara,Midfielder,Barcelona,,1.74m,70kg,2012/2013,27,8,7,12,2,1,1,0,0,45,5,6,27,2,9,21,4,17,0.0,0.0,0.0,4.8,0.0,0.0,14.3,42.9,33.3,0.0,0.0,0.0,4.8,92,1438,108,127,10,4,21,2314,10,10,0,0,997,737,16,16,38,14,56,0,0,0,0,0,0,0,0,2,5,36,18,1,1,0,4,0,4,0,0,0,0,0,0,0
Cesc Fàbregas,Midfielder,Barcelona,,1.8m,77kg,2012/2013,32,14,16,2,11,9,2,0,0,59,23,16,32,11,28,50,11,39,0.0,0.0,4.0,0.0,0.0,0.0,10.0,56.0,22.0,0.0,0.0,2.0,6.0,89,1796,168,131,26,11,50,3032,20,35,0,0,1267,951,15,15,39,14,52,0,0,0,0,0,0,0,0,1,1,19,13,0,0,0,7,0,2,1,4,0,0,0,0,0
Xavi,Midfielder,Barcelona,,1.7m,68kg,2012/2013,30,17,7,6,5,5,0,0,0,50,13,13,30,5,21,43,8,35,0.0,0.0,0.0,9.3,0.0,2.3,18.6,44.2,4.7,0.0,2.3,0.0,18.6,95,2445,102,230,14,8,43,115,8,26,0,0,1730,1087,17,17,38,14,66,16,39,18,25,14,17,8,8,1,1,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Javier Mascherano,Defender,Barcelona,,1.74m,73kg,2012/2013,25,19,2,4,0,0,0,0,0,0,0,2,25,0,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,90,935,62,172,56,0,1,5511,0,3,0,0,1091,196,21,21,40,20,54,3,5,0,4,0,0,0,0,6,4,51,104,2,2,0,3,0,3,0,0,1,0,1,0,0
Dani Alves,Defender,Barcelona,,1.72m,68kg,2012/2013,30,21,5,4,0,0,0,0,0,29,6,15,30,0,21,44,6,38,0.0,2.3,6.8,40.9,0.0,0.0,2.3,22.7,25.0,0.0,0.0,0.0,0.0,86,1510,198,65,34,6,44,5021,4,14,0,0,1068,811,15,15,40,14,48,0,0,0,0,0,0,0,0,3,7,26,51,2,2,0,2,0,1,0,1,0,0,0,0,0
Jordi Alba,Defender,Barcelona,,1.7m,68kg,2012/2013,29,24,3,2,2,1,1,0,0,43,3,4,29,2,5,19,5,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,47.4,0.0,0.0,10.5,21.1,89,1736,162,47,34,5,19,7125,2,1,0,0,1079,992,14,14,36,14,50,0,2,0,2,1,1,1,2,6,2,102,77,2,1,1,3,0,3,0,0,0,0,0,0,0
Pedro,Forward,Barcelona,,1.69m,65kg,2012/2013,28,12,11,5,7,4,3,0,0,56,22,17,28,7,32,21,6,15,0.0,0.0,0.0,19.0,0.0,0.0,4.8,61.9,14.3,0.0,0.0,0.0,0.0,90,1015,94,17,6,6,21,2111,2,9,0,0,355,811,13,13,44,12,51,0,0,0,0,0,0,0,0,1,0,12,5,0,0,0,3,0,3,0,0,0,0,0,0,0
Adriano,Defender,Barcelona,,1.72m,75kg,2012/2013,23,9,9,5,5,2,3,0,0,53,8,7,23,5,10,8,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,50.0,0.0,12.5,0.0,25.0,90,846,62,75,20,1,8,2817,0,1,0,0,599,448,17,17,38,17,58,0,0,0,0,0,0,0,0,5,2,35,72,1,1,0,3,0,2,0,1,0,0,0,0,0
David Villa,Forward,Barcelona,,1.75m,69kg,2012/2013,28,5,12,11,10,4,4,2,0,66,25,13,28,10,28,15,5,10,0.0,0.0,0.0,0.0,0.0,0.0,6.7,40.0,40.0,0.0,0.0,6.7,6.7,83,398,69,7,4,5,15,87,6,6,0,0,188,315,11,11,39,11,34,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,1,0,0,0,1,0,0,0,0,0
