Name, Position_SW, Team, Age, Height, Weight, Year, Total Appearances, Full Appearances, Sub ON Appearances, Sub OFF Appearances, Total Goals, Goals Right Foot, Goals Left Foot, Goals Head, Other Goals,Shot Accuracy(%), Shots ON Target, Shots OFF Target, Blocked Shots, Goals Concerted, Failed Goals, Total Chances Created, Player Assist, Player Key Passes, Total chances RB(%), Total chances RCAR(%),Total chances WR(%), Total chances EXTR(%), Total chances GK(%), Total chances CB(%), Total chances MC(%), Total chances OMF(%), Total chances FW(%), Total chances LB(%), Total chances LCAR(%), Total chances WL(%), Total chances EXTL(%),Average pass Accuracy(%), Successful Passes, Unsuccessful Passes, Successful Long Balls, Unsuccessful Long Balls, Successful Headed Passes, Unsuccessful Headed Passes, Successful Through Balls, Unsuccessful Through Balls,Successful Cross Ball, Unsuccessful Cross Ball, Passes Forward, Passes Backward, Average Pass Length, Average Long Ball Length, Average Back Pass Length, Average Forward Pass Length, Average Duels Won(%),Successful Tackles, Total Tackles, Successful Fouls, Total Fouls, Successful Take On, Total Take on, Successful Headed Duel, Total Headed Duel, Successful Tackles, Total Tackles,Average Defensive Actions, Defensive Clearances, Defensive Interceptions, Defensive Blocks, Total Defensive Errors, Led Attempt Goal, Led Goal,Total Yellow Card, Violence Yellow Card, Tackle Yellow Card, Verbal Yellow Card, Other Yellow Card, Total Red Card, Violence Red Card, Tackle Red Card, Verbal Red Card, Other Red Card
Federico Fernández,Defender,Getafe,,1.9m,83kg,2012/2013,14,13,0,1,1,0,0,1,0,33,2,4,14,1,5,2,1,1,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,66,182,54,23,40,1,2,3428,0,0,0,0,320,41,24,24,43,20,63,0,0,0,0,0,0,0,0,13,11,40,133,2,2,0,5,0,5,0,0,1,0,1,0,0
Paco Alcácer,Forward,Getafe,,1.75m,71kg,2012/2013,20,1,5,14,3,1,0,2,0,65,11,6,20,3,14,7,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4,28.6,0.0,0.0,0.0,0.0,71,100,26,1,4,1,7,712,0,3,0,0,72,80,11,11,41,7,37,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Abraham,Defender,Getafe,,1.88m,83kg,2012/2013,9,8,1,0,0,0,0,0,0,0,0,5,9,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,151,18,31,26,0,0,1722,0,0,0,0,202,59,25,25,46,20,60,0,0,0,0,0,0,0,0,9,4,16,65,0,0,0,1,0,1,0,0,0,0,0,0,0
Pedro León,Midfielder,Getafe,,1.83m,71kg,2012/2013,29,17,9,3,3,1,2,0,0,56,32,25,29,3,54,59,7,52,0.0,0.0,11.9,39.0,0.0,0.0,3.4,16.9,5.1,0.0,0.0,5.1,18.6,70,407,138,20,23,7,59,3030,5,6,0,0,408,238,19,19,38,17,43,0,0,0,0,0,0,0,0,2,3,28,24,0,0,0,5,0,4,0,1,1,0,0,0,1
Sergio Escudero,Defender,Getafe,,1.76m,72kg,2012/2013,9,7,2,0,1,0,1,0,0,57,4,3,9,1,6,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,66.7,65,144,57,12,19,0,3,813,0,0,0,0,192,61,19,19,38,16,54,0,0,0,0,0,0,0,0,8,2,32,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafa,Defender,Getafe,,1.79m,72kg,2012/2013,19,14,2,3,1,0,0,1,0,56,5,4,19,1,8,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,33.3,0.0,0.0,0.0,33.3,84,391,38,29,26,0,3,4624,0,0,0,0,416,137,21,21,41,19,57,0,0,0,0,0,0,0,0,10,7,54,136,1,1,0,6,0,4,0,2,0,0,0,0,0
Abdel Barrada,Midfielder,Getafe,,1.79m,73kg,2012/2013,32,15,15,2,4,3,1,0,0,37,13,22,32,4,31,60,6,54,0.0,1.7,10.0,10.0,0.0,0.0,10.0,51.7,5.0,0.0,0.0,1.7,10.0,76,830,217,53,29,6,60,5448,3,10,0,0,786,448,16,16,43,12,52,0,0,0,0,0,0,0,0,2,1,29,19,0,0,0,4,0,3,0,1,1,0,1,0,0
Juan Rodríguez,Midfielder,Getafe,,1.85m,72kg,2012/2013,9,5,2,2,2,1,0,1,0,57,4,3,9,2,5,3,1,2,0.0,0.0,0.0,33.3,0.0,0.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,77,154,33,10,4,1,3,2621,0,0,0,0,172,74,16,16,40,14,54,39,117,21,65,6,9,68,132,5,1,18,28,1,0,1,1,0,1,0,0,0,0,0,0,0
Pedro Mosquera,Midfielder,Getafe,,1.84m,77kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Ruano,Defender,Getafe,,1.83m,75kg,2012/2013,26,25,0,1,3,0,0,3,0,63,5,3,26,3,5,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,0.0,0.0,25.0,74,325,66,38,42,0,4,5237,0,1,0,0,455,102,21,21,40,19,51,0,0,0,0,0,0,0,0,11,12,50,211,1,1,0,11,0,7,0,4,2,1,1,0,0
