Name, Position_SW, Team, Age, Height, Weight, Year, Total Appearances, Full Appearances, Sub ON Appearances, Sub OFF Appearances, Total Goals, Goals Right Foot, Goals Left Foot, Goals Head, Other Goals,Shot Accuracy(%), Shots ON Target, Shots OFF Target, Blocked Shots, Goals Concerted, Failed Goals, Total Chances Created, Player Assist, Player Key Passes, Total chances RB(%), Total chances RCAR(%),Total chances WR(%), Total chances EXTR(%), Total chances GK(%), Total chances CB(%), Total chances MC(%), Total chances OMF(%), Total chances FW(%), Total chances LB(%), Total chances LCAR(%), Total chances WL(%), Total chances EXTL(%),Average pass Accuracy(%), Successful Passes, Unsuccessful Passes, Successful Long Balls, Unsuccessful Long Balls, Successful Headed Passes, Unsuccessful Headed Passes, Successful Through Balls, Unsuccessful Through Balls,Successful Cross Ball, Unsuccessful Cross Ball, Passes Forward, Passes Backward, Average Pass Length, Average Long Ball Length, Average Back Pass Length, Average Forward Pass Length, Average Duels Won(%),Successful Tackles, Total Tackles, Successful Fouls, Total Fouls, Successful Take On, Total Take on, Successful Headed Duel, Total Headed Duel, Successful Tackles, Total Tackles,Average Defensive Actions, Defensive Clearances, Defensive Interceptions, Defensive Blocks, Total Defensive Errors, Led Attempt Goal, Led Goal,Total Yellow Card, Violence Yellow Card, Tackle Yellow Card, Verbal Yellow Card, Other Yellow Card, Total Red Card, Violence Red Card, Tackle Red Card, Verbal Red Card, Other Red Card
Nolito,Forward,Granada CF,,1.75m,65kg,2012/2013,17,10,7,0,3,1,1,1,0,66,19,10,17,3,26,35,1,34,0.0,0.0,0.0,17.1,0.0,2.9,2.9,17.1,14.3,0.0,8.6,2.9,34.3,74,334,94,31,21,1,35,1411,3,7,0,0,321,192,18,18,38,16,37,24,50,24,61,18,65,4,14,1,0,13,12,0,0,0,2,0,2,0,0,0,0,0,0,0
Yacine Brahimi,Midfielder,Granada CF,,1.75m,67kg,2012/2013,27,11,10,6,0,0,0,0,0,32,9,19,27,0,28,26,1,25,0.0,0.0,0.0,3.8,0.0,0.0,7.7,69.2,7.7,0.0,0.0,7.7,3.8,85,610,106,51,5,1,26,47,2,4,0,0,554,229,16,16,37,15,51,64,159,94,165,238,447,5,45,1,1,20,5,0,0,0,7,0,3,0,4,1,0,1,0,0
Fabián Orellana,Midfielder,Granada CF,,1.68m,64kg,2012/2013,17,6,6,5,0,0,0,0,0,47,7,8,17,0,15,26,1,25,0.0,0.0,3.8,38.5,0.0,0.0,3.8,30.8,3.8,0.0,0.0,3.8,15.4,75,261,77,11,6,1,26,1612,1,3,0,0,248,134,16,16,36,16,41,14,24,20,28,7,43,10,29,1,0,8,12,0,0,0,3,0,1,0,2,0,0,0,0,0
Ikechi Anya,Midfielder,Granada CF,,1.66m,58kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Mainz,Defender,Granada CF,,1.87m,79kg,2012/2013,27,26,0,1,1,0,0,1,0,29,2,5,27,1,6,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,82,368,43,51,32,0,4,5630,1,0,0,0,466,111,20,20,37,19,62,2,2,5,8,1,1,5,14,15,18,68,309,3,1,2,2,0,2,0,0,0,0,0,0,0
Odion Ighalo,Forward,Granada CF,,1.88m,70kg,2012/2013,28,12,7,9,5,3,2,0,0,47,21,24,28,5,40,20,2,18,0.0,0.0,0.0,10.0,0.0,0.0,10.0,50.0,25.0,0.0,0.0,0.0,5.0,71,265,73,8,6,2,20,2040,1,2,0,0,245,166,13,13,35,10,38,14,26,42,94,38,86,32,132,1,0,3,11,0,0,0,4,0,1,1,2,0,0,0,0,0
Nyom,Defender,Granada CF,,1.88m,81kg,2012/2013,35,27,8,0,0,0,0,0,0,33,5,10,35,0,15,17,3,14,0.0,0.0,17.6,58.8,0.0,5.9,0.0,11.8,5.9,0.0,0.0,0.0,0.0,71,497,119,34,83,3,17,2525,0,0,0,0,541,237,20,20,40,15,60,214,338,87,192,99,199,83,115,6,3,49,153,1,1,0,9,0,5,1,3,0,0,0,0,0
Mikel Rico,Midfielder,Granada CF,,1.78m,73kg,2012/2013,38,36,2,0,2,1,1,0,0,26,7,20,38,2,25,24,0,24,0.0,0.0,4.2,4.2,0.0,0.0,8.3,54.2,8.3,0.0,0.0,16.7,4.2,81,1147,206,109,60,0,24,5431,1,5,0,0,1113,493,18,18,40,17,48,83,158,43,83,24,58,22,63,4,7,83,52,1,1,0,4,0,3,0,2,1,0,0,0,1
Daniel Pudil,Defender,Granada CF,,1.85m,81kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fran Rico,Midfielder,Granada CF,,1.78m,72kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,123,396,72,206,28,55,130,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recio,Midfielder,Granada CF,,1.83m,74kg,2012/2013,15,11,3,1,2,2,0,0,0,33,3,6,15,2,7,4,0,4,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,81,357,54,34,15,0,4,2426,3,2,0,0,318,195,18,18,39,17,42,54,150,55,128,11,32,37,89,3,5,30,16,0,0,0,5,0,2,0,3,0,0,0,0,0
