Name, Position_SW, Team, Age, Height, Weight, Year, Total Appearances, Full Appearances, Sub ON Appearances, Sub OFF Appearances, Total Goals, Goals Right Foot, Goals Left Foot, Goals Head, Other Goals,Shot Accuracy(%), Shots ON Target, Shots OFF Target, Blocked Shots, Goals Concerted, Failed Goals, Total Chances Created, Player Assist, Player Key Passes, Total chances RB(%), Total chances RCAR(%),Total chances WR(%), Total chances EXTR(%), Total chances GK(%), Total chances CB(%), Total chances MC(%), Total chances OMF(%), Total chances FW(%), Total chances LB(%), Total chances LCAR(%), Total chances WL(%), Total chances EXTL(%),Average pass Accuracy(%), Successful Passes, Unsuccessful Passes, Successful Long Balls, Unsuccessful Long Balls, Successful Headed Passes, Unsuccessful Headed Passes, Successful Through Balls, Unsuccessful Through Balls,Successful Cross Ball, Unsuccessful Cross Ball, Passes Forward, Passes Backward, Average Pass Length, Average Long Ball Length, Average Back Pass Length, Average Forward Pass Length, Average Duels Won(%),Successful Tackles, Total Tackles, Successful Fouls, Total Fouls, Successful Take On, Total Take on, Successful Headed Duel, Total Headed Duel, Successful Tackles, Total Tackles,Average Defensive Actions, Defensive Clearances, Defensive Interceptions, Defensive Blocks, Total Defensive Errors, Led Attempt Goal, Led Goal,Total Yellow Card, Violence Yellow Card, Tackle Yellow Card, Verbal Yellow Card, Other Yellow Card, Total Red Card, Violence Red Card, Tackle Red Card, Verbal Red Card, Other Red Card
Vicente Iborra,Midfielder,Levante,,1.95m,88kg,2012/2013,35,31,4,0,4,0,1,3,0,39,11,17,35,4,24,15,1,14,0.0,0.0,0.0,0.0,0.0,0.0,13.3,53.3,26.7,0.0,6.7,0.0,0.0,74,706,156,102,68,1,15,9496,1,1,0,0,889,325,19,19,42,16,53,0,0,0,0,0,0,0,0,7,24,91,138,1,0,1,13,0,8,0,5,1,0,1,0,0
Obafemi Martins,Forward,Levante,,1.71m,70kg,2012/2013,21,16,2,3,7,2,5,0,0,66,19,10,21,7,22,16,2,14,0.0,0.0,0.0,0.0,0.0,0.0,6.3,81.3,6.3,0.0,0.0,0.0,6.3,77,274,47,9,9,2,16,3036,3,5,0,0,186,225,13,13,39,12,42,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,6,0,6,0,0,0,0,0,0,0
Loukas Vyntra,Defender,Levante,,1.84m,80kg,2012/2013,15,15,0,0,0,0,0,0,0,0,0,4,15,0,4,2,0,2,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,73,200,30,25,43,0,2,2418,0,0,0,0,252,86,24,24,44,20,55,31,56,17,30,7,9,22,46,9,13,38,87,0,0,0,4,0,4,0,0,0,0,0,0,0
Simao Mate,Midfielder,Levante,,1.78m,76kg,2012/2013,4,1,1,2,0,0,0,0,0,100,1,0,4,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,82,61,6,11,2,0,1,59,0,0,0,0,67,27,20,20,37,23,70,31,80,35,85,8,9,87,131,5,2,12,5,0,0,0,1,0,1,0,0,0,0,0,0,0
David Navarro,Defender,Levante,,1.88m,82kg,2012/2013,35,34,1,0,1,0,0,1,0,25,3,9,35,1,11,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,76,325,59,56,51,2,2,6232,1,0,0,0,487,96,23,23,40,16,53,14,32,10,25,1,2,30,50,12,40,53,310,1,0,1,9,0,6,0,3,1,0,0,0,1
Pape Diop,Midfielder,Levante,,1.79m,77kg,2012/2013,32,18,14,0,0,0,0,0,0,33,6,12,32,0,18,16,0,16,0.0,0.0,0.0,6.3,0.0,0.0,37.5,50.0,0.0,0.0,0.0,6.3,0.0,71,531,136,68,54,0,16,5673,2,9,0,0,742,180,20,20,41,16,54,0,0,0,0,0,0,0,0,5,11,77,81,0,0,0,10,0,10,0,0,1,0,1,0,0
Míchel,Midfielder,Levante,,1.8m,73kg,2012/2013,37,4,16,17,5,4,1,0,0,50,12,12,37,5,19,56,6,50,0.0,0.0,1.8,21.4,1.8,0.0,10.7,42.9,7.1,0.0,0.0,1.8,12.5,75,579,144,29,23,6,56,2640,9,7,0,0,543,305,16,16,37,14,45,0,0,0,0,0,0,0,0,1,5,18,10,1,1,0,6,0,4,0,2,0,0,0,0,0
Theofanis Gekas,Forward,Levante,,1.79m,76kg,2012/2013,4,1,1,2,0,0,0,0,0,0,0,0,4,0,0,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,33.3,0.0,0.0,0.0,0.0,67,14,2,0,0,1,3,05,0,0,0,0,14,7,10,10,0,13,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nabil El Zhar,Midfielder,Levante,,1.75m,66kg,2012/2013,31,3,18,10,2,1,1,0,0,29,7,17,31,2,22,22,1,21,0.0,0.0,9.1,36.4,0.0,0.0,4.5,40.9,9.1,0.0,0.0,0.0,0.0,72,311,91,12,14,1,22,1926,5,3,0,0,316,162,15,15,38,12,43,0,0,0,0,0,0,0,0,1,1,30,7,0,0,0,5,0,3,0,2,0,0,0,0,0
Juanfran,Defender,Levante,,1.83m,78kg,2012/2013,29,26,2,1,0,0,0,0,0,14,1,6,29,0,7,18,3,15,0.0,0.0,0.0,0.0,0.0,0.0,5.6,11.1,11.1,5.6,5.6,16.7,44.4,64,358,137,38,94,3,18,5224,0,0,0,0,595,108,23,23,38,19,55,29,67,17,32,9,14,18,32,9,13,91,151,3,3,0,8,0,3,0,5,0,0,0,0,0
Rubén García,Midfielder,Levante,,1.71m,72kg,2012/2013,31,11,10,10,4,1,2,1,0,52,12,11,31,4,19,25,3,22,0.0,0.0,0.0,0.0,0.0,0.0,8.0,32.0,16.0,0.0,4.0,12.0,28.0,70,296,109,13,17,3,25,2118,5,2,0,0,309,157,15,15,38,12,43,15,52,27,50,18,36,5,20,2,1,44,25,0,0,0,4,0,3,0,1,0,0,0,0,0
Héctor Rodas,Defender,Levante,,1.9m,80kg,2012/2013,10,5,0,5,0,0,0,0,0,0,0,0,10,0,0,3,0,3,0.0,33.3,0.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,57,13,10,16,0,3,133,1,0,0,0,96,16,23,23,42,13,60,5,14,1,7,0,0,11,24,7,4,20,48,0,0,0,2,0,2,0,0,0,0,0,0,0
Massimo Volta,Defender,Levante,,1.84m,70kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dariusz Dudka,Midfielder,Levante,,1.82m,71kg,2012/2013,3,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,19,5,1,1,0,0,30,0,0,0,0,27,2,22,22,37,11,59,0,0,0,0,0,0,0,0,7,1,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Acquafresca,Forward,Levante,,1.84m,67kg,2012/2013,13,4,8,1,3,1,1,1,0,50,9,9,13,3,15,7,0,7,0.0,0.0,14.3,0.0,0.0,0.0,0.0,28.6,42.9,0.0,0.0,0.0,14.3,76,103,25,4,1,0,7,1913,0,1,0,0,77,87,12,12,39,11,27,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Miguel Pallardó,Midfielder,Levante,,1.73m,73kg,2012/2013,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,15,4,0,2,0,0,42,0,0,0,0,18,9,16,16,42,12,33,5,11,0,2,1,1,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Óscar Serrano,Midfielder,Levante,,1.72m,73kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
