Name, Position_SW, Team, Age, Height, Weight, Year, Total Appearances, Full Appearances, Sub ON Appearances, Sub OFF Appearances, Total Goals, Goals Right Foot, Goals Left Foot, Goals Head, Other Goals,Shot Accuracy(%), Shots ON Target, Shots OFF Target, Blocked Shots, Goals Concerted, Failed Goals, Total Chances Created, Player Assist, Player Key Passes, Total chances RB(%), Total chances RCAR(%),Total chances WR(%), Total chances EXTR(%), Total chances GK(%), Total chances CB(%), Total chances MC(%), Total chances OMF(%), Total chances FW(%), Total chances LB(%), Total chances LCAR(%), Total chances WL(%), Total chances EXTL(%),Average pass Accuracy(%), Successful Passes, Unsuccessful Passes, Successful Long Balls, Unsuccessful Long Balls, Successful Headed Passes, Unsuccessful Headed Passes, Successful Through Balls, Unsuccessful Through Balls,Successful Cross Ball, Unsuccessful Cross Ball, Passes Forward, Passes Backward, Average Pass Length, Average Long Ball Length, Average Back Pass Length, Average Forward Pass Length, Average Duels Won(%),Successful Tackles, Total Tackles, Successful Fouls, Total Fouls, Successful Take On, Total Take on, Successful Headed Duel, Total Headed Duel, Successful Tackles, Total Tackles,Average Defensive Actions, Defensive Clearances, Defensive Interceptions, Defensive Blocks, Total Defensive Errors, Led Attempt Goal, Led Goal,Total Yellow Card, Violence Yellow Card, Tackle Yellow Card, Verbal Yellow Card, Other Yellow Card, Total Red Card, Violence Red Card, Tackle Red Card, Verbal Red Card, Other Red Card
Isco,Midfielder,Málaga,,1.76m,74kg,2012/2013,36,22,13,1,9,7,2,0,0,64,25,14,36,9,30,39,1,38,0.0,0.0,0.0,10.3,0.0,0.0,5.1,51.3,17.9,0.0,0.0,10.3,5.1,84,1309,213,69,18,1,39,2017,4,15,0,0,938,710,15,15,37,13,45,0,0,0,0,0,0,0,0,1,0,24,8,0,0,0,4,0,2,0,2,0,0,0,0,0
Nacho Monreal,Defender,Málaga,,1.79m,72kg,2012/2013,13,11,2,0,1,0,1,0,0,40,2,3,13,1,4,6,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,33.3,0.0,0.0,16.7,33.3,85,494,50,7,28,2,6,2813,0,1,0,0,399,220,16,16,39,14,58,0,0,0,0,0,0,0,0,6,3,24,52,0,0,0,3,0,3,0,0,0,0,0,0,0
Martín Demichelis,Defender,Málaga,,1.84m,80kg,2012/2013,30,29,1,0,4,1,0,3,0,40,6,9,30,4,11,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,33.3,0.0,0.0,0.0,0.0,83,792,95,89,40,0,3,5854,0,1,0,0,943,184,20,20,40,20,56,8,20,6,12,4,5,27,48,9,21,62,196,5,5,0,10,0,8,0,2,2,0,2,0,0
Joaquín,Midfielder,Málaga,,1.79m,75kg,2012/2013,33,9,19,5,4,4,0,0,0,50,18,18,33,4,32,84,6,78,0.0,0.0,4.8,25.0,0.0,0.0,1.2,25.0,25.0,0.0,0.0,2.4,16.7,81,834,150,28,9,6,84,4047,3,5,0,0,513,595,15,15,37,16,48,0,0,0,0,0,0,0,0,1,2,17,15,0,0,0,2,0,0,0,2,0,0,0,0,0
Jérémy Toulalan,Midfielder,Málaga,,1.83m,77kg,2012/2013,18,12,5,1,0,0,0,0,0,0,0,7,18,0,7,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4,28.6,0.0,0.0,0.0,0.0,80,592,101,25,19,0,7,4845,0,0,0,0,638,185,16,16,39,16,49,0,0,0,0,0,0,0,0,6,5,62,35,0,0,0,5,0,4,0,1,0,0,0,0,0
Pedro Morales,Midfielder,Málaga,,1.81m,78kg,2012/2013,7,1,4,2,3,3,0,0,0,70,7,3,7,3,7,10,3,7,0.0,0.0,0.0,50.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,20.0,81,139,30,23,3,3,10,65,0,1,0,0,117,90,20,20,37,19,50,0,0,0,0,0,0,0,0,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Ignacio Camacho,Midfielder,Málaga,,1.82m,75kg,2012/2013,32,26,3,3,2,0,0,2,0,33,7,14,32,2,19,5,0,5,0.0,0.0,20.0,0.0,0.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,20.0,79,836,124,85,33,0,5,93106,0,1,0,0,957,313,17,17,38,16,51,0,0,0,0,0,0,0,0,6,6,101,88,2,0,2,14,0,11,0,3,1,0,1,0,0
Weligton,Defender,Málaga,,1.86m,71kg,2012/2013,32,32,0,0,2,0,0,2,0,27,4,11,32,2,13,5,1,4,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,80.0,0.0,0.0,0.0,0.0,80,708,99,120,71,1,5,8458,0,0,0,0,929,206,23,23,40,22,60,4,7,1,2,1,1,1,2,11,28,93,244,5,2,3,10,0,8,1,1,0,0,0,0,0
Roque Santa Cruz,Forward,Málaga,,1.91m,83kg,2012/2013,31,10,5,16,8,2,3,3,0,56,19,15,31,8,26,20,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,40.0,0.0,0.0,5.0,10.0,69,383,80,12,5,2,20,84127,0,0,0,0,343,340,13,13,38,12,58,0,0,0,0,0,0,0,0,1,1,5,20,0,0,0,2,0,1,0,1,0,0,0,0,0
Eliseu,Defender,Málaga,,1.75m,75kg,2012/2013,27,19,6,2,1,0,1,0,0,40,8,12,27,1,19,26,3,23,0.0,0.0,3.8,7.7,0.0,0.0,3.8,19.2,19.2,0.0,0.0,3.8,42.3,80,658,116,33,29,3,26,3335,0,1,0,0,528,372,17,17,40,15,57,0,0,0,0,0,0,0,0,3,2,27,43,0,0,0,2,0,0,0,2,1,1,0,0,0
Enzo Maresca,Midfielder,Málaga,,1.8m,77kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recio,Midfielder,Málaga,,1.83m,74kg,2012/2013,4,0,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,91,8,11,2,0,0,43,0,0,0,0,68,50,15,15,40,14,53,0,3,2,5,0,0,0,2,1,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0
Jesús Gámez,Defender,Málaga,,1.82m,77kg,2012/2013,27,25,2,0,0,0,0,0,0,40,4,6,27,0,10,13,1,12,0.0,0.0,23.1,61.5,0.0,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0,77,806,191,30,32,1,13,4932,0,4,0,0,834,306,17,17,36,16,50,0,0,0,0,0,0,0,0,7,7,64,109,1,0,1,8,0,8,0,0,0,0,0,0,0
Lucas Piazon,Midfielder,Málaga,,1.82m,73kg,2012/2013,11,1,3,7,0,0,0,0,0,80,4,1,11,0,5,6,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,16.7,0.0,0.0,0.0,0.0,80,158,32,2,3,2,6,76,1,1,0,0,119,91,12,12,43,11,43,0,0,0,0,0,0,0,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Portillo,Midfielder,Málaga,,1.69m,63kg,2012/2013,26,11,8,7,2,2,0,0,0,43,6,8,26,2,12,26,6,20,0.0,3.8,7.7,11.5,0.0,3.8,0.0,50.0,19.2,0.0,0.0,3.8,0.0,86,830,117,37,9,6,26,1316,4,6,0,0,578,449,15,15,37,13,48,0,0,0,0,0,0,0,0,1,1,18,12,0,0,0,2,0,2,0,0,0,0,0,0,0
Oguchi Onyewu,Defender,Málaga,,1.95m,91kg,2012/2013,2,1,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,27,1,0,1,0,0,31,0,0,0,0,26,7,17,17,47,11,63,0,0,0,0,0,0,0,0,10,1,3,15,1,0,1,0,0,0,0,0,0,0,0,0,0
Duda,Midfielder,Málaga,,1.75m,71kg,2012/2013,17,2,1,14,0,0,0,0,0,25,2,6,17,0,8,17,1,16,0.0,0.0,5.9,23.5,0.0,0.0,0.0,17.6,5.9,0.0,5.9,11.8,29.4,77,237,60,30,14,1,17,75,3,2,0,0,252,105,20,20,43,15,56,5,16,17,24,3,8,4,10,0,2,5,1,0,0,0,6,0,4,0,2,0,0,0,0,0
Javier Saviola,Forward,Málaga,,1.69m,64kg,2012/2013,27,2,17,8,8,8,0,0,0,58,14,10,27,8,16,15,3,12,0.0,0.0,0.0,0.0,0.0,0.0,6.7,66.7,20.0,0.0,0.0,0.0,6.7,76,377,99,14,6,3,15,413,4,6,0,0,265,256,14,14,37,11,35,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0
Julio Baptista,Midfielder,Málaga,,1.85m,86kg,2012/2013,14,6,5,3,4,3,0,1,0,68,17,8,14,4,21,9,0,9,0.0,0.0,0.0,11.1,0.0,0.0,11.1,55.6,22.2,0.0,0.0,0.0,0.0,82,248,43,18,5,0,9,1514,3,1,0,0,196,149,14,14,38,12,48,0,0,0,0,0,0,0,0,1,0,5,13,0,0,0,3,0,2,0,1,0,0,0,0,0
Diego Buonanotte,Midfielder,Málaga,,1.61m,57kg,2012/2013,8,0,2,6,1,0,1,0,0,86,6,1,8,1,6,4,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,84,106,18,17,3,2,4,02,1,0,0,0,91,55,16,16,40,12,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Diego Lugano,Defender,Málaga,,1.88m,84kg,2012/2013,11,10,0,1,0,0,0,0,0,0,0,3,11,0,3,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,78,177,24,23,21,1,1,2519,0,0,0,0,241,46,23,23,44,22,52,0,0,0,0,0,0,0,0,9,7,21,70,0,0,0,3,0,1,1,1,0,0,0,0,0
Vitorino Antunes,Defender,Málaga,,1.75m,69kg,2012/2013,11,10,0,1,1,1,0,0,0,27,3,8,11,1,10,6,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,50.0,33.3,75,259,66,14,22,1,6,179,0,0,0,0,254,131,18,18,37,16,45,0,0,0,0,0,0,0,0,6,2,27,38,1,1,0,0,0,0,0,0,0,0,0,0,0
Juanmi,Forward,Málaga,,1.7m,63kg,2012/2013,1,0,0,1,1,1,0,0,0,100,2,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2,0,0,0,0,0,00,0,0,0,0,1,1,6,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
