Name, Position_SW, Team, Age, Height, Weight, Year, Total Appearances, Full Appearances, Sub ON Appearances, Sub OFF Appearances, Total Goals, Goals Right Foot, Goals Left Foot, Goals Head, Other Goals,Shot Accuracy(%), Shots ON Target, Shots OFF Target, Blocked Shots, Goals Concerted, Failed Goals, Total Chances Created, Player Assist, Player Key Passes, Total chances RB(%), Total chances RCAR(%),Total chances WR(%), Total chances EXTR(%), Total chances GK(%), Total chances CB(%), Total chances MC(%), Total chances OMF(%), Total chances FW(%), Total chances LB(%), Total chances LCAR(%), Total chances WL(%), Total chances EXTL(%),Average pass Accuracy(%), Successful Passes, Unsuccessful Passes, Successful Long Balls, Unsuccessful Long Balls, Successful Headed Passes, Unsuccessful Headed Passes, Successful Through Balls, Unsuccessful Through Balls,Successful Cross Ball, Unsuccessful Cross Ball, Passes Forward, Passes Backward, Average Pass Length, Average Long Ball Length, Average Back Pass Length, Average Forward Pass Length, Average Duels Won(%),Successful Tackles, Total Tackles, Successful Fouls, Total Fouls, Successful Take On, Total Take on, Successful Headed Duel, Total Headed Duel, Successful Tackles, Total Tackles,Average Defensive Actions, Defensive Clearances, Defensive Interceptions, Defensive Blocks, Total Defensive Errors, Led Attempt Goal, Led Goal,Total Yellow Card, Violence Yellow Card, Tackle Yellow Card, Verbal Yellow Card, Other Yellow Card, Total Red Card, Violence Red Card, Tackle Red Card, Verbal Red Card, Other Red Card
Roberto Trashorras,Midfielder,Rayo Vallecano,,1.77m,70kg,2012/2013,35,23,8,4,1,1,0,0,0,44,19,24,35,1,42,87,4,83,0.0,0.0,4.6,16.1,0.0,2.3,19.5,36.8,1.1,0.0,0.0,8.0,11.5,86,1500,212,307,70,4,87,5820,9,6,0,0,1359,812,21,21,40,17,63,46,124,83,119,28,55,19,52,2,3,28,33,0,0,0,6,0,3,0,3,0,0,0,0,0
Franco Vázquez,Midfielder,Rayo Vallecano,,1.87m,87kg,2012/2013,18,2,6,10,3,1,1,1,0,40,6,9,18,3,12,7,0,7,0.0,0.0,14.3,0.0,0.0,0.0,0.0,71.4,14.3,0.0,0.0,0.0,0.0,75,206,55,14,7,0,7,1213,1,2,0,0,173,135,15,15,38,13,52,24,34,27,50,3,10,9,28,1,0,8,9,0,0,0,2,0,1,0,1,0,0,0,0,0
Javi Fuego,Midfielder,Rayo Vallecano,,1.82m,74kg,2012/2013,36,32,4,0,0,0,0,0,0,27,4,11,36,0,15,15,1,14,0.0,0.0,6.7,20.0,0.0,0.0,26.7,40.0,0.0,0.0,0.0,6.7,0.0,82,1236,196,127,49,1,15,14678,1,1,0,0,1305,520,17,17,39,16,52,103,181,54,123,5,13,59,110,4,11,88,62,2,1,1,14,0,9,0,5,0,0,0,0,0
Piti,Midfielder,Rayo Vallecano,,1.79m,79kg,2012/2013,35,21,12,2,18,2,16,0,0,44,43,54,35,18,79,37,2,35,0.0,0.0,2.7,18.9,0.0,0.0,8.1,24.3,16.2,0.0,0.0,5.4,24.3,70,604,193,48,55,2,37,3244,0,6,0,0,572,407,18,18,42,14,55,3,12,4,14,11,18,5,17,2,1,28,34,0,0,0,8,0,4,0,5,0,0,0,0,0
Alejandro Gálvez,Defender,Rayo Vallecano,,1.9m,79kg,2012/2013,28,23,1,4,0,0,0,0,0,0,0,7,28,0,7,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,33.3,0.0,0.0,0.0,0.0,82,750,101,147,76,0,6,9237,0,0,0,0,946,254,23,23,42,20,53,125,227,27,118,13,17,121,204,9,14,80,156,2,1,1,12,0,9,0,3,1,0,0,0,1
Jordi Figueras,Defender,Rayo Vallecano,,1.85m,82kg,2012/2013,14,12,1,1,0,0,0,0,0,0,0,3,14,0,3,5,1,4,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,40.0,20.0,0.0,0.0,0.0,84,450,43,54,44,1,5,3519,2,0,0,0,479,163,21,21,41,21,54,20,33,12,29,4,5,27,50,10,13,41,90,3,3,0,4,0,3,0,2,0,0,0,0,0
Leo Baptistao,Forward,Rayo Vallecano,,1.81m,71kg,2012/2013,28,16,10,2,7,3,2,2,0,43,19,25,28,7,37,29,6,23,0.0,0.0,0.0,6.9,0.0,0.0,3.4,44.8,31.0,0.0,0.0,6.9,6.9,75,353,77,10,5,6,29,3248,3,0,0,0,253,275,13,13,39,12,46,40,82,98,167,68,178,84,227,1,7,13,19,0,0,0,5,0,3,0,2,0,0,0,0,0
Anaitz Arbilla,Defender,Rayo Vallecano,,1.78m,76kg,2012/2013,11,6,2,3,0,0,0,0,0,50,3,3,11,0,6,9,0,9,0.0,0.0,11.1,33.3,0.0,11.1,0.0,22.2,0.0,0.0,0.0,0.0,22.2,81,282,45,31,14,0,9,1719,0,0,0,0,271,136,19,19,39,18,56,87,159,25,76,25,46,74,125,6,0,19,42,2,2,0,1,0,1,0,0,0,0,0,0,0
Alejandro Domínguez,Midfielder,Rayo Vallecano,,1.75m,71kg,2012/2013,33,18,14,1,5,2,3,0,0,40,19,28,33,5,42,43,5,38,0.0,0.0,9.3,20.9,0.0,2.3,9.3,37.2,9.3,0.0,0.0,4.7,7.0,76,712,193,72,39,5,43,2114,1,2,0,0,588,460,17,17,40,14,46,16,43,46,77,31,71,2,16,0,0,9,6,0,0,0,12,0,5,1,6,0,0,0,0,0
José Carlos,Midfielder,Rayo Vallecano,,1.77m,68kg,2012/2013,32,12,9,11,2,0,2,0,0,46,16,19,32,2,33,35,1,34,0.0,0.0,2.9,48.6,0.0,0.0,2.9,28.6,14.3,0.0,0.0,2.9,0.0,78,660,163,36,17,1,35,2625,0,1,0,0,511,413,16,16,39,16,54,39,60,37,57,56,98,16,61,2,1,26,21,3,3,0,4,0,4,0,0,0,0,0,0,0
Jordi Amat,Defender,Rayo Vallecano,,1.84m,78kg,2012/2013,27,20,6,1,1,1,0,0,0,25,2,6,27,1,7,5,0,5,0.0,0.0,20.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,81,548,80,172,72,0,5,8333,0,0,0,0,803,179,24,24,42,22,50,42,77,11,49,16,18,38,69,8,8,54,157,3,3,0,12,0,11,0,1,0,0,0,0,0
Adrián González,Midfielder,Rayo Vallecano,,1.84m,75kg,2012/2013,21,4,4,13,0,0,0,0,0,35,6,11,21,0,17,10,1,9,0.0,0.0,0.0,0.0,0.0,20.0,40.0,20.0,20.0,0.0,0.0,0.0,0.0,78,275,47,32,20,1,10,2027,0,0,0,0,258,162,19,19,41,13,47,36,68,18,49,5,12,35,81,1,1,12,16,0,0,0,5,0,4,0,1,0,0,0,0,0
Andrija Delibasic,Forward,Rayo Vallecano,,1.87m,84kg,2012/2013,32,6,5,21,6,4,0,2,0,64,14,8,32,6,16,13,1,12,0.0,0.0,0.0,7.7,0.0,0.0,15.4,30.8,46.2,0.0,0.0,0.0,0.0,74,212,39,7,1,1,13,2847,0,2,0,0,167,168,13,13,37,10,46,11,16,20,39,3,13,39,89,1,2,16,16,0,0,0,6,0,1,0,5,0,0,0,0,0
Tito,Defender,Rayo Vallecano,,1.74m,62kg,2012/2013,33,28,3,2,1,0,0,1,0,38,5,8,33,1,12,21,1,20,0.0,4.8,33.3,38.1,0.0,0.0,0.0,14.3,9.5,0.0,0.0,0.0,0.0,75,644,147,36,56,1,21,8551,0,0,0,0,695,323,18,18,37,16,54,173,329,131,294,29,64,176,352,6,9,62,123,1,1,0,9,0,6,1,2,0,0,0,0,0
Casado,Defender,Rayo Vallecano,,1.73m,72kg,2012/2013,28,20,8,0,0,0,0,0,0,18,2,9,28,0,11,23,4,19,0.0,0.0,0.0,0.0,0.0,4.3,8.7,17.4,4.3,0.0,0.0,17.4,47.8,74,636,149,58,73,4,23,4234,1,1,0,0,668,324,20,20,39,17,46,70,107,11,66,13,36,32,64,7,14,63,122,1,1,0,11,0,10,0,1,1,0,1,0,0
Alberto Perea,Midfielder,Rayo Vallecano,,1.77m,67kg,2012/2013,4,0,1,3,0,0,0,0,0,0,0,1,4,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,85,57,5,1,2,0,1,02,0,1,0,0,35,32,15,15,35,12,89,11,20,19,24,10,25,3,10,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Arana,Forward,Rayo Vallecano,,1.75m,72kg,2012/2013,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,5,1,0,1,0,0,01,0,0,0,0,6,2,23,23,46,18,50,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammed Abu,Midfielder,Rayo Vallecano,,1.76m,75kg,2012/2013,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,70,19,5,0,1,0,1,23,0,0,0,0,19,11,14,14,15,13,50,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Raúl Tamudo,Forward,Rayo Vallecano,,1.8m,74kg,2012/2013,4,0,0,4,1,1,0,0,0,100,2,0,4,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,91,10,1,0,0,0,1,00,0,0,0,0,7,4,10,10,0,8,40,0,0,1,2,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Nono,Forward,Rayo Vallecano,,1.7m,62kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saballs,Forward,Rayo Vallecano,,0,Unknown,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isi,Midfielder,Rayo Vallecano,,1.73m,66kg,2012/2013,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,2,1,0,0,0,0,10,0,0,0,0,2,2,17,17,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafa García,Midfielder,Rayo Vallecano,,1.88m,84kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodri,Defender,Rayo Vallecano,,1.85m,81kg,2012/2013,4,1,2,1,0,0,0,0,0,0,0,2,4,0,2,1,0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,53,4,11,14,0,1,64,0,0,0,0,77,15,30,30,50,27,64,0,1,1,4,0,0,3,4,6,0,2,21,0,0,0,2,0,2,0,0,0,0,0,0,0
Rubén Ramiro,Forward,Rayo Vallecano,,1.76m,70kg,2012/2013,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,3,2,1,3,0,0,00,0,0,0,0,7,2,22,22,34,11,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sueliton,Defender,Rayo Vallecano,,1.78m,65kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rober Correa,Defender,Rayo Vallecano,,1.8m,76kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacho,Defender,Rayo Vallecano,,1.75m,76kg,2012/2013,10,7,1,2,1,0,1,0,0,67,2,1,10,1,2,14,1,13,0.0,0.0,0.0,7.1,0.0,0.0,7.1,28.6,7.1,0.0,0.0,28.6,21.4,74,209,50,23,27,1,14,1510,1,0,0,0,255,80,19,19,38,15,56,35,68,19,46,2,15,22,50,5,3,20,22,0,0,0,3,0,3,0,0,0,0,0,0,0
Mikel Labaka,Defender,Rayo Vallecano,,1.85m,79kg,2012/2013,10,6,1,3,0,0,0,0,0,33,1,2,10,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,124,19,16,20,0,0,3014,0,0,0,0,170,52,23,23,44,23,55,10,12,1,13,2,2,24,40,8,8,11,60,1,0,1,4,0,4,0,0,1,0,1,0,0
Nicki Bille Nielsen,Forward,Rayo Vallecano,,1.81m,76kg,2012/2013,9,2,2,5,0,0,0,0,0,43,3,4,9,0,7,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,16.7,50.0,33.3,0.0,0.0,0.0,0.0,76,51,10,3,2,0,6,88,0,0,0,0,44,38,15,15,40,9,29,4,7,4,16,1,6,9,33,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0
Lass,Midfielder,Rayo Vallecano,,1.74m,71kg,2012/2013,32,11,9,12,3,2,1,0,0,35,16,30,32,3,43,33,5,28,0.0,0.0,6.1,9.1,0.0,0.0,0.0,24.2,21.2,0.0,0.0,6.1,33.3,72,317,98,7,12,5,33,1519,0,2,0,0,249,218,15,15,38,13,39,57,117,51,139,133,288,25,81,1,1,11,13,0,0,0,6,0,6,0,0,0,0,0,0,0
Manucho,Forward,Rayo Vallecano,,1.88m,82kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,10,29,14,32,1,6,76,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bebé,Forward,Rayo Vallecano,,1.9m,75kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,30,64,22,50,50,111,28,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javi Guerra,Forward,Rayo Vallecano,,1.79m,77kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,18,52,62,108,7,36,67,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juancho,Forward,Rayo Vallecano,,0,Unknown,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
