Name, Position_SW, Team, Age, Height, Weight, Year, Total Appearances, Full Appearances, Sub ON Appearances, Sub OFF Appearances, Total Goals, Goals Right Foot, Goals Left Foot, Goals Head, Other Goals,Shot Accuracy(%), Shots ON Target, Shots OFF Target, Blocked Shots, Goals Concerted, Failed Goals, Total Chances Created, Player Assist, Player Key Passes, Total chances RB(%), Total chances RCAR(%),Total chances WR(%), Total chances EXTR(%), Total chances GK(%), Total chances CB(%), Total chances MC(%), Total chances OMF(%), Total chances FW(%), Total chances LB(%), Total chances LCAR(%), Total chances WL(%), Total chances EXTL(%),Average pass Accuracy(%), Successful Passes, Unsuccessful Passes, Successful Long Balls, Unsuccessful Long Balls, Successful Headed Passes, Unsuccessful Headed Passes, Successful Through Balls, Unsuccessful Through Balls,Successful Cross Ball, Unsuccessful Cross Ball, Passes Forward, Passes Backward, Average Pass Length, Average Long Ball Length, Average Back Pass Length, Average Forward Pass Length, Average Duels Won(%),Successful Tackles, Total Tackles, Successful Fouls, Total Fouls, Successful Take On, Total Take on, Successful Headed Duel, Total Headed Duel, Successful Tackles, Total Tackles,Average Defensive Actions, Defensive Clearances, Defensive Interceptions, Defensive Blocks, Total Defensive Errors, Led Attempt Goal, Led Goal,Total Yellow Card, Violence Yellow Card, Tackle Yellow Card, Verbal Yellow Card, Other Yellow Card, Total Red Card, Violence Red Card, Tackle Red Card, Verbal Red Card, Other Red Card
Rubén Castro,Forward,Real Betis,,1.74m,72kg,2012/2013,34,32,0,2,18,15,1,2,0,58,38,28,34,18,48,44,7,37,0.0,0.0,0.0,4.5,0.0,2.3,0.0,40.9,34.1,0.0,2.3,9.1,6.8,76,536,134,25,12,7,44,4439,3,7,0,0,334,457,13,13,39,12,51,4,12,37,45,19,34,4,32,1,0,18,8,0,0,0,3,0,1,0,2,0,0,0,0,0
Beñat Etxebarria,Midfielder,Real Betis,,1.77m,76kg,2012/2013,34,22,11,1,4,4,0,0,0,28,13,33,34,4,42,61,8,53,0.0,0.0,4.9,27.9,0.0,1.6,13.1,23.0,3.3,0.0,0.0,4.9,21.3,80,1133,209,194,80,8,61,4833,5,26,0,0,1155,560,22,22,41,19,47,0,0,0,0,0,0,0,0,2,3,42,27,0,0,0,16,0,10,0,6,0,0,0,0,0
Dorlan Pabón,Forward,Real Betis,,1.7m,69kg,2012/2013,17,8,7,3,8,8,0,0,0,49,20,21,18,8,33,14,3,11,0.0,0.0,0.0,21.4,0.0,7.1,7.1,28.6,7.1,0.0,0.0,7.1,21.4,71,226,66,25,11,3,14,1931,3,5,0,0,194,189,18,18,45,14,41,0,0,0,0,0,0,0,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Damien Perquis,Defender,Real Betis,,1.83m,74kg,2012/2013,10,6,1,3,0,0,0,0,0,40,2,3,10,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,129,14,23,13,0,0,2111,0,0,0,0,166,44,22,22,39,20,52,0,0,0,0,0,0,0,0,11,8,31,68,1,1,0,2,0,0,1,1,1,0,1,0,0
José Cañas,Midfielder,Real Betis,,1.77m,71kg,2012/2013,27,23,3,1,0,0,0,0,0,27,3,8,27,0,11,9,1,8,0.0,11.1,11.1,0.0,0.0,0.0,22.2,33.3,22.2,0.0,0.0,0.0,0.0,80,768,147,98,39,1,9,3437,0,1,0,0,896,224,18,18,41,16,46,0,0,0,0,0,0,0,0,6,5,84,61,2,2,0,10,0,8,1,1,0,0,0,0,0
Jorge Molina,Forward,Real Betis,,1.89m,83kg,2012/2013,32,13,9,10,13,8,2,3,0,51,26,25,32,13,38,30,2,28,0.0,0.0,0.0,10.0,0.0,0.0,3.3,66.7,10.0,0.0,3.3,3.3,3.3,70,454,127,15,10,2,30,6193,3,4,0,0,405,353,13,13,42,11,48,0,0,0,0,0,0,0,0,1,5,12,11,0,0,0,3,0,2,0,1,0,0,0,0,0
Salva Sevilla,Midfielder,Real Betis,,1.78m,71kg,2012/2013,17,2,13,2,2,2,0,0,0,57,8,6,17,2,12,16,1,15,0.0,0.0,6.3,0.0,0.0,0.0,18.8,43.8,6.3,0.0,6.3,12.5,6.3,80,445,86,25,12,1,16,1215,7,15,0,0,396,212,16,16,40,14,45,0,0,0,0,0,0,0,0,1,1,8,4,0,0,0,3,0,3,0,0,0,0,0,0,0
Chechu Dorado,Defender,Real Betis,,1.8m,69kg,2012/2013,7,5,0,2,0,0,0,0,0,0,0,1,7,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,72,75,18,8,8,0,1,910,0,0,0,0,108,19,22,22,43,19,48,0,0,0,0,0,0,0,0,8,4,10,44,0,0,0,1,0,1,0,0,0,0,0,0,0
Juan Carlos Pérez,Midfielder,Real Betis,,1.79m,72kg,2012/2013,25,2,19,4,0,0,0,0,0,29,5,12,25,0,17,22,3,19,0.0,0.0,0.0,9.1,0.0,0.0,0.0,9.1,22.7,0.0,0.0,9.1,50.0,69,270,94,4,12,3,22,2229,1,0,0,0,217,211,15,15,39,14,44,0,0,0,0,0,0,0,0,2,1,19,31,0,0,0,4,0,2,0,2,0,0,0,0,0
Nacho,Defender,Real Betis,,1.76m,70kg,2012/2013,30,25,1,4,0,0,0,0,0,100,1,0,30,0,1,27,6,21,0.0,0.0,0.0,0.0,0.0,7.4,3.7,11.1,0.0,0.0,14.8,14.8,48.1,75,762,187,39,53,6,27,5847,0,2,0,0,871,271,19,19,39,13,51,38,68,9,29,8,16,20,41,7,4,72,129,0,0,0,11,0,8,0,3,0,0,0,0,0
Mario,Defender,Real Betis,,1.78m,75kg,2012/2013,20,15,4,1,1,0,0,1,0,67,2,1,20,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,317,42,32,18,0,0,4222,0,0,0,0,357,114,21,21,39,22,56,35,57,17,33,1,1,35,66,10,14,50,132,2,2,0,1,0,1,0,0,1,0,1,0,0
Álex Pozuelo,Midfielder,Real Betis,,1.7m,63kg,2012/2013,11,1,3,7,1,1,0,0,0,67,4,2,11,1,5,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,12.5,62.5,25.0,0.0,0.0,0.0,0.0,83,147,25,13,1,0,8,68,0,1,0,0,119,82,15,15,39,12,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Joel Campbell,Forward,Real Betis,,1.78m,71kg,2012/2013,28,5,16,7,2,1,1,0,0,21,7,26,28,2,31,20,3,17,0.0,5.0,10.0,10.0,0.0,0.0,5.0,40.0,10.0,0.0,5.0,5.0,10.0,67,352,114,8,19,3,20,2146,4,8,0,0,331,238,16,16,40,12,49,0,0,0,0,0,0,0,0,2,0,32,22,0,0,0,8,0,7,0,1,1,0,0,0,1
Rubén Pérez,Midfielder,Real Betis,,1.78m,72kg,2012/2013,25,15,3,7,1,1,0,0,0,38,3,5,25,1,7,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,66.7,33.3,0.0,0.0,0.0,0.0,0.0,76,568,113,101,48,0,3,4856,1,5,0,0,707,231,21,21,37,17,49,0,0,0,0,0,0,0,0,5,9,52,73,1,1,0,11,0,10,0,1,1,0,0,0,1
Javier Matilla,Midfielder,Real Betis,,1.76m,72kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nosa,Midfielder,Real Betis,,1.82m,78kg,2012/2013,16,2,5,9,1,0,0,1,0,33,2,4,16,1,5,8,1,7,0.0,0.0,0.0,0.0,0.0,12.5,12.5,62.5,12.5,0.0,0.0,0.0,0.0,79,217,35,21,8,1,8,1423,1,2,0,0,172,146,17,17,37,14,54,0,0,0,0,0,0,0,0,2,3,14,10,1,1,0,2,0,2,0,0,0,0,0,0,0
Salvador Agra,Midfielder,Real Betis,,1.66m,60kg,2012/2013,10,2,5,3,1,1,0,0,0,43,3,4,10,1,6,6,0,6,0.0,0.0,0.0,50.0,0.0,0.0,0.0,16.7,16.7,0.0,0.0,0.0,16.7,72,64,16,6,7,0,6,25,1,0,0,0,48,53,19,19,39,18,40,0,0,0,0,0,0,0,0,1,0,5,2,0,0,0,3,0,2,0,1,0,0,0,0,0
Nélson,Defender,Real Betis,,1.72m,64kg,2012/2013,10,9,1,0,0,0,0,0,0,0,0,1,10,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,75,224,57,13,15,0,1,139,0,1,0,0,215,113,17,17,38,17,54,0,0,0,0,0,0,0,0,6,2,16,45,1,0,1,2,0,1,0,1,0,0,0,0,0
Ángel,Defender,Real Betis,,1.8m,71kg,2012/2013,11,7,1,3,1,1,0,0,0,100,1,0,11,1,0,2,0,2,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,75,145,30,13,15,0,2,1610,1,2,0,0,170,62,21,21,36,13,45,0,0,0,0,0,0,0,0,6,1,17,44,0,0,0,3,0,2,0,1,0,0,0,0,0
Jonathan Pereira,Forward,Real Betis,,1.66m,61kg,2012/2013,6,1,0,5,0,0,0,0,0,33,1,2,6,0,3,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,33.3,66.7,0.0,0.0,0.0,0.0,0.0,66,46,21,1,3,1,3,41,1,2,0,0,43,34,15,15,37,10,55,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0
Javi Chica,Defender,Real Betis,,1.76m,78kg,2012/2013,22,21,0,1,0,0,0,0,0,33,3,6,22,0,9,9,1,8,0.0,0.0,11.1,66.7,0.0,11.1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,73,410,106,43,46,1,9,3024,1,0,0,0,447,207,21,21,37,20,50,38,94,24,59,4,12,30,70,7,9,37,101,3,2,1,4,0,2,0,2,0,0,0,0,0
Varela,Defender,Real Betis,,1.78m,72kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,12,23,4,8,1,4,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Rodríguez,Midfielder,Real Betis,,1.69m,65kg,2012/2013,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,86,18,2,1,1,0,1,00,0,0,0,0,10,11,15,15,35,16,50,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álex Martínez,Defender,Real Betis,,1.76m,64kg,2012/2013,13,11,0,2,0,0,0,0,0,0,0,1,13,0,1,5,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,60.0,76,241,47,17,29,1,5,1711,0,1,0,0,245,117,18,18,39,16,46,13,23,5,14,2,7,13,29,7,5,26,56,1,1,0,1,0,1,0,0,0,0,0,0,0
Nono,Midfielder,Real Betis,,1.78m,72kg,2012/2013,15,0,4,11,0,0,0,0,0,20,1,4,15,0,5,6,0,6,0.0,0.0,33.3,0.0,0.0,16.7,0.0,16.7,16.7,0.0,0.0,0.0,16.7,80,238,46,37,9,0,6,1014,1,4,0,0,234,121,19,19,39,15,43,42,98,32,69,16,31,15,35,1,0,5,7,0,0,0,3,0,4,0,0,0,0,0,0,0
Eder Vilarchao,Midfielder,Real Betis,,1.83m,62kg,2012/2013,1,0,0,1,0,0,0,0,0,100,1,0,1,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,83,17,2,1,1,0,1,11,0,0,0,0,10,12,15,15,45,11,44,2,4,0,3,0,0,2,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Manu Palancar,Defender,Real Betis,,1.79m,72kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eneko Eizmendi,Forward,Real Betis,,1.71m,65kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borja Navarro,Defender,Real Betis,,1.79m,71kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos García,Midfielder,Real Betis,,1.65m,48kg,2012/2013,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,3,0,0,1,0,0,00,0,0,0,0,3,1,21,21,50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillermo Molins,Midfielder,Real Betis,,1.86m,81kg,2012/2013,4,0,0,4,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,10,1,0,0,0,0,30,0,0,0,0,8,6,11,11,0,9,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caro,Defender,Real Betis,,1.82m,70kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fausto,Midfielder,Real Betis,,1.83m,78kg,2012/2013,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0,0,0,0,0,0,00,1,1,0,0,2,0,20,20,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álvaro Vadillo,Midfielder,Real Betis,,1.8m,63kg,2012/2013,14,0,3,11,0,0,0,0,0,20,1,4,14,0,5,12,2,10,0.0,0.0,0.0,8.3,0.0,0.0,0.0,33.3,16.7,0.0,8.3,8.3,25.0,71,118,36,6,4,2,12,413,3,1,0,0,105,78,15,15,43,13,52,0,2,2,2,2,3,1,2,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0
