Name, Position_SW, Team, Age, Height, Weight, Year, Total Appearances, Full Appearances, Sub ON Appearances, Sub OFF Appearances, Total Goals, Goals Right Foot, Goals Left Foot, Goals Head, Other Goals,Shot Accuracy(%), Shots ON Target, Shots OFF Target, Blocked Shots, Goals Concerted, Failed Goals, Total Chances Created, Player Assist, Player Key Passes, Total chances RB(%), Total chances RCAR(%),Total chances WR(%), Total chances EXTR(%), Total chances GK(%), Total chances CB(%), Total chances MC(%), Total chances OMF(%), Total chances FW(%), Total chances LB(%), Total chances LCAR(%), Total chances WL(%), Total chances EXTL(%),Average pass Accuracy(%), Successful Passes, Unsuccessful Passes, Successful Long Balls, Unsuccessful Long Balls, Successful Headed Passes, Unsuccessful Headed Passes, Successful Through Balls, Unsuccessful Through Balls,Successful Cross Ball, Unsuccessful Cross Ball, Passes Forward, Passes Backward, Average Pass Length, Average Long Ball Length, Average Back Pass Length, Average Forward Pass Length, Average Duels Won(%),Successful Tackles, Total Tackles, Successful Fouls, Total Fouls, Successful Take On, Total Take on, Successful Headed Duel, Total Headed Duel, Successful Tackles, Total Tackles,Average Defensive Actions, Defensive Clearances, Defensive Interceptions, Defensive Blocks, Total Defensive Errors, Led Attempt Goal, Led Goal,Total Yellow Card, Violence Yellow Card, Tackle Yellow Card, Verbal Yellow Card, Other Yellow Card, Total Red Card, Violence Red Card, Tackle Red Card, Verbal Red Card, Other Red Card
Cristiano Ronaldo,Forward,Real Madrid,,1.85m,80kg,2012/2013,34,25,5,4,34,18,10,6,0,58,105,76,34,34,147,62,10,52,0.0,0.0,3.2,3.2,0.0,0.0,3.2,46.8,24.2,0.0,0.0,6.5,12.9,77,756,168,20,17,10,62,4150,10,18,0,0,543,526,14,14,37,12,63,0,0,0,0,0,0,0,0,1,1,9,23,0,0,0,9,0,4,1,4,0,0,0,0,0
Karim Benzema,Forward,Real Madrid,,1.87m,79kg,2012/2013,30,5,14,11,11,8,3,0,0,64,32,18,30,11,39,41,11,30,0.0,0.0,0.0,2.4,0.0,2.4,2.4,53.7,24.4,0.0,0.0,4.9,9.8,79,509,102,20,5,11,41,2236,7,6,0,0,373,325,13,13,34,12,47,0,1,0,0,1,1,0,1,1,0,7,15,1,1,0,0,0,0,0,0,0,0,0,0,0
Mesut Özil,Midfielder,Real Madrid,,1.8m,76kg,2012/2013,32,10,13,9,9,2,7,0,0,77,17,5,32,9,13,91,13,78,0.0,1.1,5.5,13.2,0.0,0.0,5.5,44.0,11.0,0.0,0.0,0.0,19.8,84,918,124,40,24,13,91,1619,17,26,0,0,715,456,17,17,39,17,55,0,0,0,0,0,0,0,0,1,0,18,1,0,0,0,5,0,3,1,1,0,0,0,0,0
Luka Modric,Midfielder,Real Madrid,,1.74m,65kg,2012/2013,33,17,8,8,3,1,2,0,0,38,8,13,33,3,18,56,3,53,0.0,0.0,0.0,16.1,0.0,1.8,14.3,39.3,5.4,0.0,0.0,5.4,17.9,88,1157,127,111,19,3,56,3822,13,19,0,0,996,496,17,17,37,16,61,1,3,1,2,1,1,0,0,2,2,45,20,1,0,1,7,0,3,0,5,0,0,0,0,0
Sergio Ramos,Defender,Real Madrid,,1.83m,75kg,2012/2013,26,26,0,0,4,1,0,3,0,37,10,17,26,4,23,18,0,18,0.0,0.0,11.1,11.1,0.0,22.2,0.0,27.8,0.0,0.0,11.1,16.7,0.0,85,1026,95,160,79,0,18,7552,5,4,0,0,1139,346,22,22,44,18,60,1,2,2,4,0,0,3,6,8,8,48,148,2,2,0,9,0,6,0,3,1,0,0,0,1
Gonzalo Higuaín,Forward,Real Madrid,,1.84m,87kg,2012/2013,28,13,6,9,16,12,3,1,0,60,29,19,28,16,32,22,5,17,0.0,0.0,0.0,4.5,0.0,0.0,4.5,27.3,40.9,0.0,0.0,0.0,22.7,75,338,82,33,13,5,22,2332,4,11,0,0,247,283,16,16,39,15,47,0,0,0,0,0,0,0,0,1,3,9,21,0,0,0,4,0,1,2,1,1,0,1,0,0
Ángel Di María,Midfielder,Real Madrid,,1.8m,75kg,2012/2013,32,7,15,10,7,0,6,1,0,50,22,22,32,7,37,45,6,39,0.0,0.0,8.9,17.8,0.0,0.0,4.4,44.4,17.8,0.0,0.0,0.0,6.7,72,583,195,74,40,6,45,107,18,32,0,0,608,337,20,20,41,17,52,0,0,0,0,0,0,0,0,1,0,25,4,1,0,1,4,0,1,0,3,1,0,0,0,1
Xabi Alonso,Midfielder,Real Madrid,,1.83m,80kg,2012/2013,28,19,3,6,0,0,0,0,0,27,3,8,28,0,11,48,5,43,0.0,0.0,4.2,6.3,0.0,6.3,20.8,35.4,2.1,0.0,0.0,12.5,12.5,83,1161,153,152,62,5,48,9769,7,7,0,0,1247,445,20,20,42,16,55,0,0,0,0,0,0,0,0,4,8,52,48,2,2,0,11,0,6,1,4,0,0,0,0,0
José Callejón,Forward,Real Madrid,,1.78m,73kg,2012/2013,30,7,8,15,3,3,0,0,0,56,20,16,30,3,33,20,3,17,0.0,0.0,5.0,5.0,0.0,0.0,10.0,60.0,15.0,0.0,0.0,5.0,0.0,85,376,46,13,8,3,20,2617,3,5,0,0,220,270,14,14,38,13,52,0,0,0,0,0,0,0,0,1,1,9,18,1,1,0,1,0,1,0,0,0,0,0,0,0
Marcelo,Defender,Real Madrid,,1.74m,75kg,2012/2013,14,9,4,1,0,0,0,0,0,29,2,5,14,0,7,18,0,18,0.0,0.0,0.0,0.0,0.0,0.0,5.6,22.2,16.7,0.0,11.1,16.7,27.8,82,423,62,32,32,0,18,155,4,4,0,0,339,230,18,18,42,16,55,2,6,0,0,1,4,0,2,3,2,28,18,0,0,0,2,0,2,0,0,0,0,0,0,0
