Name, Position_SW, Team, Age, Height, Weight, Year, Total Appearances, Full Appearances, Sub ON Appearances, Sub OFF Appearances, Total Goals, Goals Right Foot, Goals Left Foot, Goals Head, Other Goals,Shot Accuracy(%), Shots ON Target, Shots OFF Target, Blocked Shots, Goals Concerted, Failed Goals, Total Chances Created, Player Assist, Player Key Passes, Total chances RB(%), Total chances RCAR(%),Total chances WR(%), Total chances EXTR(%), Total chances GK(%), Total chances CB(%), Total chances MC(%), Total chances OMF(%), Total chances FW(%), Total chances LB(%), Total chances LCAR(%), Total chances WL(%), Total chances EXTL(%),Average pass Accuracy(%), Successful Passes, Unsuccessful Passes, Successful Long Balls, Unsuccessful Long Balls, Successful Headed Passes, Unsuccessful Headed Passes, Successful Through Balls, Unsuccessful Through Balls,Successful Cross Ball, Unsuccessful Cross Ball, Passes Forward, Passes Backward, Average Pass Length, Average Long Ball Length, Average Back Pass Length, Average Forward Pass Length, Average Duels Won(%),Successful Tackles, Total Tackles, Successful Fouls, Total Fouls, Successful Take On, Total Take on, Successful Headed Duel, Total Headed Duel, Successful Tackles, Total Tackles,Average Defensive Actions, Defensive Clearances, Defensive Interceptions, Defensive Blocks, Total Defensive Errors, Led Attempt Goal, Led Goal,Total Yellow Card, Violence Yellow Card, Tackle Yellow Card, Verbal Yellow Card, Other Yellow Card, Total Red Card, Violence Red Card, Tackle Red Card, Verbal Red Card, Other Red Card
Antoine Griezmann,Forward,Real Sociedad,,1.75m,72kg,2012/2013,34,25,7,2,10,2,7,1,0,51,38,36,34,10,64,37,3,34,0.0,0.0,2.7,5.4,0.0,0.0,5.4,56.8,10.8,0.0,0.0,5.4,13.5,81,762,150,34,11,3,37,7744,3,7,0,0,604,481,15,15,38,14,43,0,0,0,0,0,0,0,0,2,3,33,15,0,0,0,8,0,7,0,1,0,0,0,0,0
Carlos Vela,Forward,Real Sociedad,,1.77m,75kg,2012/2013,35,15,17,3,14,2,11,1,0,57,48,36,35,14,70,55,9,46,0.0,0.0,5.5,20.0,0.0,0.0,0.0,32.7,10.9,0.0,0.0,5.5,25.5,78,698,162,38,22,9,55,2630,3,9,0,0,538,446,17,17,38,16,54,2,2,1,1,1,1,0,0,1,1,16,7,0,0,0,10,0,8,0,2,0,0,0,0,0
Asier Illarramendi,Midfielder,Real Sociedad,,1.79m,76kg,2012/2013,32,17,15,0,0,0,0,0,0,33,6,12,32,0,18,32,2,30,0.0,0.0,6.3,25.0,0.0,0.0,9.4,34.4,0.0,0.0,0.0,12.5,12.5,81,1050,179,118,54,2,32,6362,9,8,0,0,1045,487,19,19,39,19,57,1,3,0,2,2,2,0,2,5,13,75,59,1,0,1,11,0,9,0,2,0,0,0,0,0
Xabi Prieto,Midfielder,Real Sociedad,,1.86m,76kg,2012/2013,35,22,11,2,9,7,1,1,0,56,19,15,35,9,25,58,3,55,0.0,0.0,8.6,24.1,0.0,0.0,6.9,31.0,25.9,0.0,0.0,0.0,3.4,81,1043,155,44,11,3,58,130124,2,0,0,0,793,705,14,14,36,13,58,2,2,0,0,0,0,0,0,2,7,18,39,0,0,0,2,0,1,0,1,0,0,0,0,0
Íñigo Martínez,Defender,Real Sociedad,,1.81m,77kg,2012/2013,34,34,0,0,4,0,1,3,0,61,11,7,34,4,14,3,0,3,0.0,0.0,0.0,0.0,33.3,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,80,893,112,147,107,0,3,6751,1,2,0,0,1056,317,25,25,45,22,59,0,0,0,0,0,0,0,0,8,23,69,187,1,1,0,9,0,9,0,0,0,0,0,0,0
Rubén Pardo,Midfielder,Real Sociedad,,1.82m,68kg,2012/2013,25,4,6,15,0,0,0,0,0,50,4,4,25,0,8,23,4,19,0.0,0.0,0.0,17.4,0.0,4.3,8.7,34.8,0.0,0.0,0.0,4.3,30.4,83,494,73,88,36,4,23,613,8,4,0,0,502,216,23,23,43,19,38,0,0,0,0,0,0,0,0,1,1,13,4,1,1,0,4,0,3,0,1,0,0,0,0,0
Carlos Martínez,Defender,Real Sociedad,,1.89m,79kg,2012/2013,29,26,3,0,1,0,0,1,0,38,3,5,29,1,7,36,4,32,0.0,0.0,41.7,44.4,0.0,0.0,0.0,5.6,5.6,0.0,0.0,2.8,0.0,77,736,182,63,44,4,36,7842,0,0,0,0,760,383,19,19,40,17,62,0,0,0,0,0,0,0,0,9,14,91,166,0,0,0,4,0,3,0,1,0,0,0,0,0
David Zurutuza,Midfielder,Real Sociedad,,1.84m,78kg,2012/2013,21,2,12,7,2,2,0,0,0,50,5,5,21,2,8,20,4,16,0.0,5.0,10.0,0.0,0.0,0.0,0.0,65.0,10.0,0.0,0.0,0.0,10.0,78,395,85,32,11,4,20,4034,4,2,0,0,370,230,16,16,38,13,65,0,4,2,6,0,1,1,1,2,5,25,22,0,0,0,2,0,1,0,1,0,0,0,0,0
Gonzalo Castro,Midfielder,Real Sociedad,,1.76m,70kg,2012/2013,31,1,12,18,7,2,5,0,0,53,17,15,31,7,25,32,4,28,0.0,0.0,12.5,21.9,0.0,0.0,9.4,18.8,15.6,0.0,0.0,0.0,21.9,80,388,81,25,12,4,32,2817,3,3,0,0,300,254,17,17,39,14,54,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,3,0,2,0,1,0,0,0,0,0
Markel Bergara,Midfielder,Real Sociedad,,1.81m,78kg,2012/2013,28,23,4,1,0,0,0,0,0,0,0,6,28,0,6,5,0,5,0.0,0.0,0.0,20.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,86,727,50,79,22,0,5,10282,0,0,0,0,611,445,18,18,37,18,51,0,0,0,0,0,0,0,0,5,8,72,48,1,0,1,8,0,7,0,1,1,0,1,0,0
Alberto de la Bella,Defender,Real Sociedad,,1.82m,82kg,2012/2013,36,33,3,0,3,1,2,0,0,33,6,12,36,3,15,24,2,22,0.0,0.0,0.0,0.0,0.0,0.0,4.2,8.3,16.7,0.0,12.5,12.5,45.8,80,1045,170,66,75,2,24,6054,0,0,0,0,932,534,19,19,41,17,53,0,0,0,0,0,0,0,0,6,6,55,149,1,1,0,7,0,6,0,1,0,0,0,0,0
Mikel González,Defender,Real Sociedad,,1.9m,79kg,2012/2013,34,34,0,0,2,1,0,1,0,38,3,5,34,2,6,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,81,743,106,125,74,1,1,4639,0,0,0,0,939,191,23,23,40,21,55,7,24,2,10,6,6,10,20,11,23,70,276,4,2,2,10,0,8,0,2,0,0,0,0,0
Imanol Agirretxe,Forward,Real Sociedad,,1.87m,77kg,2012/2013,34,16,6,12,13,9,3,0,1,53,36,32,34,13,55,28,5,23,0.0,0.0,3.6,3.6,0.0,0.0,7.1,50.0,25.0,0.0,3.6,7.1,0.0,68,296,79,20,14,5,28,3665,4,10,0,0,296,223,15,15,41,11,40,0,0,0,0,0,0,1,1,1,2,4,18,0,0,0,2,0,2,0,0,0,0,0,0,0
Elustondo,Midfielder,Real Sociedad,,1.84m,79kg,2012/2013,8,3,2,3,1,0,0,1,0,60,3,2,8,1,4,2,0,2,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,80,139,20,22,16,0,2,118,0,0,0,0,158,57,21,21,42,14,43,0,0,0,0,0,0,0,0,3,4,13,10,0,0,0,2,0,1,0,1,0,0,0,0,0
Ion Ansotegi,Defender,Real Sociedad,,1.92m,84kg,2012/2013,7,4,0,3,0,0,0,0,0,0,0,2,7,0,2,2,0,2,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,86,86,6,11,8,0,2,53,0,0,0,0,101,17,24,24,43,21,38,0,0,0,0,0,0,0,0,5,9,3,24,0,0,0,4,0,3,0,1,0,0,0,0,0
José Ángel,Defender,Real Sociedad,,1.82m,77kg,2012/2013,11,0,2,9,0,0,0,0,0,50,1,1,11,0,2,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,87.5,84,110,12,7,7,0,8,03,0,1,0,0,71,69,19,19,44,13,45,0,0,0,0,0,0,0,0,1,0,3,9,0,0,0,2,0,0,0,2,0,0,0,0,0
Diego Ifrán,Forward,Real Sociedad,,1.74m,74kg,2012/2013,26,1,8,17,2,2,0,0,0,31,8,18,26,2,24,16,3,13,0.0,0.0,12.5,6.3,0.0,0.0,0.0,31.3,43.8,0.0,0.0,0.0,6.3,71,160,39,9,7,3,16,1428,1,1,0,0,128,131,16,16,43,13,52,10,12,22,40,14,34,30,59,0,0,4,6,0,0,0,2,0,0,0,2,0,0,0,0,0
Liassine Cadamuro,Defender,Real Sociedad,,1.86m,76kg,2012/2013,4,2,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,70,29,7,7,6,0,1,13,0,0,0,0,39,13,19,19,38,16,52,0,0,0,0,0,0,0,0,6,1,4,20,0,0,0,2,0,2,0,0,0,0,0,0,0
Javi Ros,Midfielder,Real Sociedad,,1.72m,67kg,2012/2013,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,26,3,5,2,0,0,22,0,0,0,0,26,14,19,19,39,15,57,7,21,4,10,2,2,3,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Víctor Fuchs,Midfielder,Real Sociedad,,1.74m,64kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Nanizayamo,Forward,Real Sociedad,,1.94m,98kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Estrada,Defender,Real Sociedad,,1.79m,74kg,2012/2013,19,9,1,9,0,0,0,0,0,40,2,3,19,0,5,8,0,8,0.0,12.5,25.0,50.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,73,262,56,15,18,0,8,2841,0,0,0,0,308,112,18,18,41,15,47,0,0,0,0,0,0,0,0,3,0,13,48,0,0,0,4,0,3,0,1,1,0,1,0,0
Pablo Hervías,Midfielder,Real Sociedad,,1.74m,68kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseba Llorente,Forward,Real Sociedad,,1.84m,72kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juanmi,Forward,Real Sociedad,,1.7m,63kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imanol Agirretxe,Forward,Real Sociedad,,1.87m,77kg,2012/2013,34,16,6,12,13,9,3,0,1,53,36,32,34,13,55,28,5,23,0.0,0.0,3.6,3.6,0.0,0.0,7.1,50.0,25.0,0.0,3.6,7.1,0.0,68,296,79,20,14,5,28,3665,4,10,0,0,296,223,15,15,41,11,40,0,0,0,0,0,0,1,1,1,2,4,18,0,0,0,2,0,2,0,0,0,0,0,0,0
Carlos Vela,Forward,Real Sociedad,,1.77m,75kg,2012/2013,35,15,17,3,14,2,11,1,0,57,48,36,35,14,70,55,9,46,0.0,0.0,5.5,20.0,0.0,0.0,0.0,32.7,10.9,0.0,0.0,5.5,25.5,78,698,162,38,22,9,55,2630,3,9,0,0,538,446,17,17,38,16,54,2,2,1,1,1,1,0,0,1,1,16,7,0,0,0,10,0,8,0,2,0,0,0,0,0
Mikel Oyarzabal,Forward,Real Sociedad,,1.78m,77kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Bautista,Forward,Real Sociedad,,1.8m,72kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
