Name, Position_SW, Team, Age, Height, Weight, Year, Total Appearances, Full Appearances, Sub ON Appearances, Sub OFF Appearances, Total Goals, Goals Right Foot, Goals Left Foot, Goals Head, Other Goals,Shot Accuracy(%), Shots ON Target, Shots OFF Target, Blocked Shots, Goals Concerted, Failed Goals, Total Chances Created, Player Assist, Player Key Passes, Total chances RB(%), Total chances RCAR(%),Total chances WR(%), Total chances EXTR(%), Total chances GK(%), Total chances CB(%), Total chances MC(%), Total chances OMF(%), Total chances FW(%), Total chances LB(%), Total chances LCAR(%), Total chances WL(%), Total chances EXTL(%),Average pass Accuracy(%), Successful Passes, Unsuccessful Passes, Successful Long Balls, Unsuccessful Long Balls, Successful Headed Passes, Unsuccessful Headed Passes, Successful Through Balls, Unsuccessful Through Balls,Successful Cross Ball, Unsuccessful Cross Ball, Passes Forward, Passes Backward, Average Pass Length, Average Long Ball Length, Average Back Pass Length, Average Forward Pass Length, Average Duels Won(%),Successful Tackles, Total Tackles, Successful Fouls, Total Fouls, Successful Take On, Total Take on, Successful Headed Duel, Total Headed Duel, Successful Tackles, Total Tackles,Average Defensive Actions, Defensive Clearances, Defensive Interceptions, Defensive Blocks, Total Defensive Errors, Led Attempt Goal, Led Goal,Total Yellow Card, Violence Yellow Card, Tackle Yellow Card, Verbal Yellow Card, Other Yellow Card, Total Red Card, Violence Red Card, Tackle Red Card, Verbal Red Card, Other Red Card
Alberto Bueno,Forward,Real Valladolid,,1.78m,64kg,2012/2013,33,3,11,19,5,3,2,0,0,62,18,11,33,5,24,24,4,20,0.0,0.0,8.3,29.2,0.0,0.0,4.2,25.0,12.5,0.0,0.0,8.3,12.5,78,441,106,74,18,4,24,2224,2,2,0,0,372,316,20,20,41,16,45,21,43,24,35,12,38,3,18,1,2,17,12,1,1,0,4,0,1,0,3,0,0,0,0,0
Javi Guerra,Forward,Real Valladolid,,1.79m,77kg,2012/2013,30,11,6,13,8,5,2,1,0,52,15,14,30,8,21,11,0,11,0.0,0.0,0.0,0.0,0.0,9.1,27.3,45.5,18.2,0.0,0.0,0.0,0.0,78,402,58,20,5,0,11,5667,0,1,0,0,249,354,14,14,35,12,44,59,112,124,208,24,78,182,462,0,2,9,3,1,1,0,4,0,2,0,2,0,0,0,0,0
Jesús Rueda,Defender,Real Valladolid,,1.81m,78kg,2012/2013,28,25,1,2,0,0,0,0,0,25,1,3,28,0,4,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,82,645,83,148,75,0,2,6131,1,0,0,0,833,207,25,25,41,21,52,47,99,27,62,2,5,66,113,12,29,60,259,2,1,1,3,0,3,0,0,0,0,0,0,0
Patrick Ebert,Midfielder,Real Valladolid,,1.75m,72kg,2012/2013,23,14,8,1,6,5,1,0,0,58,33,24,23,6,51,47,7,40,0.0,2.1,6.4,31.9,0.0,0.0,2.1,21.3,10.6,0.0,0.0,6.4,19.1,73,530,136,54,38,7,47,4251,2,7,0,0,490,358,21,21,40,19,53,52,109,48,107,23,46,57,111,1,3,13,16,0,0,0,4,0,3,0,1,0,0,0,0,0
Mikel Balenziaga,Defender,Real Valladolid,,1.77m,75kg,2012/2013,32,30,2,0,0,0,0,0,0,0,0,2,32,0,2,12,1,11,0.0,0.0,0.0,0.0,0.0,0.0,8.3,8.3,0.0,0.0,8.3,33.3,41.7,73,822,198,27,90,1,12,7154,0,1,0,0,847,405,19,19,37,16,51,73,106,24,63,10,38,34,68,10,4,82,237,1,0,1,3,0,3,0,0,0,0,0,0,0
Manucho,Forward,Real Valladolid,,1.88m,82kg,2012/2013,25,8,11,6,8,2,3,3,0,49,20,21,25,8,33,12,3,9,0.0,0.0,0.0,0.0,0.0,0.0,33.3,50.0,16.7,0.0,0.0,0.0,0.0,61,223,56,8,3,3,12,79146,2,0,0,0,270,237,13,13,38,12,57,21,50,63,132,7,31,253,402,2,3,8,32,0,0,0,4,0,4,0,0,1,0,1,0,0
Álvaro Rubio,Midfielder,Real Valladolid,,1.78m,80kg,2012/2013,35,18,16,1,0,0,0,0,0,9,1,10,35,0,11,15,2,13,0.0,0.0,6.7,6.7,0.0,0.0,20.0,60.0,0.0,0.0,0.0,6.7,0.0,85,1236,167,209,58,2,15,8443,0,4,0,0,1170,626,20,20,38,18,41,38,134,22,78,6,10,31,70,4,5,63,72,2,2,0,8,0,7,0,1,0,0,0,0,0
Óscar,Midfielder,Real Valladolid,,1.8m,71kg,2012/2013,35,24,9,2,12,8,1,3,0,56,27,21,35,12,36,41,7,34,0.0,0.0,9.8,0.0,0.0,0.0,12.2,48.8,14.6,0.0,0.0,7.3,7.3,80,998,199,109,31,7,41,3939,7,16,0,0,776,649,17,17,40,14,40,23,54,20,40,7,21,14,39,1,3,19,11,1,1,0,6,0,5,0,1,0,0,0,0,0
Carlos Peña,Defender,Real Valladolid,,1.81m,73kg,2012/2013,17,11,0,6,0,0,0,0,0,17,1,5,17,0,6,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,50.0,76,331,55,41,56,1,4,2920,0,0,0,0,399,131,24,24,40,17,59,74,139,16,55,7,10,71,124,9,9,32,118,0,0,0,3,0,3,0,0,0,0,0,0,0
Víctor Pérez,Midfielder,Real Valladolid,,1.76m,71kg,2012/2013,25,24,0,1,4,4,0,0,0,33,5,10,25,4,11,11,0,11,0.0,0.0,9.1,0.0,0.0,0.0,45.5,45.5,0.0,0.0,0.0,0.0,0.0,82,942,166,124,44,0,11,3737,2,3,0,0,956,395,20,20,40,17,45,84,161,18,60,7,18,24,57,4,9,42,39,0,0,0,4,0,3,0,1,0,0,0,0,0
