Name, Position_SW, Team, Age, Height, Weight, Year, Total Appearances, Full Appearances, Sub ON Appearances, Sub OFF Appearances, Total Goals, Goals Right Foot, Goals Left Foot, Goals Head, Other Goals,Shot Accuracy(%), Shots ON Target, Shots OFF Target, Blocked Shots, Goals Concerted, Failed Goals, Total Chances Created, Player Assist, Player Key Passes, Total chances RB(%), Total chances RCAR(%),Total chances WR(%), Total chances EXTR(%), Total chances GK(%), Total chances CB(%), Total chances MC(%), Total chances OMF(%), Total chances FW(%), Total chances LB(%), Total chances LCAR(%), Total chances WL(%), Total chances EXTL(%),Average pass Accuracy(%), Successful Passes, Unsuccessful Passes, Successful Long Balls, Unsuccessful Long Balls, Successful Headed Passes, Unsuccessful Headed Passes, Successful Through Balls, Unsuccessful Through Balls,Successful Cross Ball, Unsuccessful Cross Ball, Passes Forward, Passes Backward, Average Pass Length, Average Long Ball Length, Average Back Pass Length, Average Forward Pass Length, Average Duels Won(%),Successful Tackles, Total Tackles, Successful Fouls, Total Fouls, Successful Take On, Total Take on, Successful Headed Duel, Total Headed Duel, Successful Tackles, Total Tackles,Average Defensive Actions, Defensive Clearances, Defensive Interceptions, Defensive Blocks, Total Defensive Errors, Led Attempt Goal, Led Goal,Total Yellow Card, Violence Yellow Card, Tackle Yellow Card, Verbal Yellow Card, Other Yellow Card, Total Red Card, Violence Red Card, Tackle Red Card, Verbal Red Card, Other Red Card
Federico Fazio,Defender,Sevilla,,1.95m,85kg,2012/2013,26,23,2,1,3,0,0,3,0,41,11,16,26,3,24,7,0,7,0.0,0.0,0.0,0.0,0.0,28.6,0.0,14.3,42.9,0.0,14.3,0.0,0.0,80,609,75,94,67,0,7,6550,0,2,0,0,724,232,23,23,42,22,64,0,0,0,0,0,0,0,0,11,18,59,206,2,1,1,5,0,2,0,3,2,0,2,0,0
Gary Medel,Defender,Sevilla,,1.71m,71kg,2012/2013,32,26,5,1,6,6,0,0,0,39,11,17,32,6,22,19,3,16,0.0,0.0,10.5,0.0,0.0,5.3,15.8,31.6,36.8,0.0,0.0,0.0,0.0,87,1194,115,155,41,3,19,5543,1,3,0,0,1023,573,18,18,37,17,50,0,0,0,0,0,0,0,0,4,12,49,64,3,1,2,8,0,4,0,4,3,2,1,0,0
Jesús Navas,Midfielder,Sevilla,,1.7m,60kg,2012/2013,37,36,1,0,0,0,0,0,0,48,29,32,37,0,61,76,6,70,0.0,1.3,5.3,39.5,0.0,0.0,5.3,21.1,25.0,0.0,0.0,0.0,2.6,80,910,205,54,16,6,76,3925,4,7,0,0,632,621,16,16,39,15,58,1,1,2,2,2,2,1,2,1,0,15,15,0,0,0,5,0,2,0,3,0,0,0,0,0
Diego Perotti,Forward,Sevilla,,1.79m,70kg,2012/2013,18,1,8,10,0,0,0,0,0,33,1,2,19,0,3,14,0,14,0.0,0.0,7.1,0.0,0.0,0.0,0.0,35.7,0.0,0.0,7.1,7.1,42.9,84,247,35,7,4,0,14,98,2,5,0,0,155,159,15,15,37,12,53,0,0,0,0,0,0,0,0,1,0,6,5,0,0,0,2,0,1,0,1,0,0,0,0,0
Álvaro Negredo,Forward,Sevilla,,1.86m,86kg,2012/2013,36,26,8,2,25,5,15,5,0,42,54,74,36,25,103,39,1,38,0.0,0.0,2.6,0.0,0.0,0.0,2.6,28.2,43.6,0.0,2.6,7.7,12.8,64,392,157,32,30,1,39,108105,4,12,0,0,416,411,14,14,39,12,53,0,0,0,0,0,0,0,0,2,6,5,46,0,0,0,3,0,2,0,1,0,0,0,0,0
Geoffrey Kondogbia,Midfielder,Sevilla,,1.88m,80kg,2012/2013,31,9,14,8,1,0,0,1,0,31,4,9,31,1,12,9,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,44.4,0.0,22.2,0.0,11.1,87,821,93,58,17,1,9,3324,2,6,0,0,641,399,16,16,36,15,55,0,0,0,0,0,0,0,0,2,6,38,28,2,1,1,4,0,1,1,2,0,0,0,0,0
Emir Spahic,Defender,Sevilla,,1.86m,81kg,2012/2013,22,20,2,0,1,0,1,0,0,56,5,4,22,1,8,5,0,5,0.0,0.0,0.0,40.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,82,627,71,73,54,0,5,8649,0,1,0,0,715,242,21,21,42,22,61,0,0,0,0,0,0,0,0,12,12,65,190,4,3,1,10,0,8,0,2,0,0,0,0,0
Alberto Moreno,Defender,Sevilla,,1.71m,65kg,2012/2013,0,0,0,0,0,0,0,0,0,25,1,3,15,0,4,7,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,14.3,0.0,0.0,0.0,71.4,78,314,53,22,29,1,7,1316,0,2,0,0,244,200,18,18,40,16,43,0,0,0,0,0,0,0,0,7,4,46,48,1,1,0,5,0,4,0,1,0,0,0,0,0
Fernando Navarro,Defender,Sevilla,,1.76m,70kg,2012/2013,35,34,1,0,0,0,0,0,0,50,2,2,35,0,4,16,1,15,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,6.3,0.0,18.8,25.0,37.5,79,959,154,71,90,1,16,8260,1,2,0,0,1074,340,19,19,40,16,58,0,0,0,0,0,0,0,0,6,10,61,143,4,2,2,11,0,8,1,2,1,0,1,0,0
Alexis Ruano,Defender,Sevilla,,1.83m,75kg,2012/2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
